name,dEmin,dEmax,Emean,CSvis,dCSvis,TrigEff,TrigErr,RegEff,RegErr,CS,dCS
640,0.00000,0.00000,638.53000,0.13303,0.01390,0.98000,0.01950,0.06481,0.00188,2.09441,0.23082
680,0.00000,0.00000,678.27000,0.08778,0.01063,0.92630,0.03990,0.05344,0.00171,1.77335,0.23492
720,0.00000,0.00000,717.46000,0.05524,0.00781,0.90660,0.04970,0.04869,0.00162,1.25147,0.19432
760,0.00000,0.00000,757.30000,0.08542,0.01075,0.95240,0.03210,0.08559,0.00217,1.04792,0.13909
800,0.00000,0.00000,797.50000,0.12994,0.01299,0.96590,0.01910,0.11531,0.00252,1.16666,0.12158
840,0.00000,0.00000,837.05000,0.10762,0.01156,0.95040,0.02380,0.09524,0.00231,1.18891,0.13428
860,0.00000,0.00000,857.92000,0.03537,0.00692,0.86930,0.05910,0.05787,0.00179,0.70319,0.14724
880,0.00000,0.00000,878.86000,0.01455,0.00406,0.95450,0.04270,0.02867,0.00127,0.53170,0.15193
920,18.79000,19.34000,917.80000,0.00663,0.00177,0.85000,0.05720,0.01075,0.00080,0.72576,0.20651
950,10.91000,9.93000,962.51000,0.00463,0.00172,0.77780,0.07030,0.01019,0.00080,0.58456,0.22836
960,5.00000,5.74000,988.50000,0.00694,0.00247,0.95630,0.04140,0.01245,0.00086,0.58295,0.21268
