,M,Sigma,Nsig,Nbkg,Merr,Serr,Nsig_err,Nbkg_err
550.0,496.56669282977475,5.824016699890004,1775.3350547489445,153.81372584195574,0.1483027355160118,0.13506217689738564,43.78406329181291,17.187019714766052
562.5,496.80779526412385,6.402259291309892,1562.313136314969,120.72098805981024,0.17290343086676785,0.15472619282715128,41.07248617087055,15.661839344199464
575.0,496.5167612707383,6.219247520276469,1372.7035190556014,109.23858047932922,0.17949174804502377,0.15935531192472485,38.481711048654574,14.737043324561768
587.5,496.7642244840963,6.866098973129308,1293.5362527534355,84.43951983892927,0.2024786979660007,0.17469166261276037,37.27711279989387,13.432724590844103
600.0,496.4362372806406,6.669213652880631,1152.9719989300024,103.0334662890221,0.21185990613358285,0.18840265303853698,35.53113193721083,14.5756569490052
612.5,496.450003541849,6.895431817131975,1005.9106941971374,84.07712882433727,0.23581818068510074,0.2374893157484177,33.700589040444584,14.621027685534528
625.0,496.70199763484464,6.351017507105715,866.1544074800743,88.84569868337056,0.23212644887649958,0.20312954960748852,30.69824612611518,12.845971681131438
637.5,496.9029804133412,7.1942483340200525,865.1771884609527,43.64118573659892,0.25720484316545367,0.2201631178460275,30.3427661956124,9.959897517742125
650.0,496.76315948263414,7.339334446069852,769.3616756056898,58.7987153570606,0.28273971051558533,0.2478727508928209,29.003890013618047,11.42466702505157
662.5,496.599036583523,7.732001627042401,722.4563047977473,41.513727246327626,0.30717534279455094,0.2758837104440901,28.07324365685372,10.350053176900577
675.0,496.9907322022569,7.4777021044230985,709.0714357090411,57.95084325830891,0.30409727117930174,0.29919935740616976,28.304228585535043,12.244122614351813
687.5,497.1489745708672,7.797929267665608,673.6160399853419,47.35156176625777,0.32185360743469005,0.2891324730518954,27.2830254124612,10.86527743336968
700.0,497.299641375316,7.3827617887392165,693.8203050426528,51.22085579435775,0.3037893775268401,0.31414127332676767,28.23030324445864,12.417489219700709
712.5,497.46620744701175,7.3720475624041395,696.1406687742033,68.80640861083864,0.3118198518370434,0.32291390860045865,28.60284176550988,13.808088725964673
725.0,497.1482479875128,7.74691842574267,764.4550399388162,38.64208805200842,0.2998948272656605,0.29665540805480717,29.18811182137108,11.22085867414718
737.5,496.94005279541244,8.034549826042891,893.0283878200884,32.84957886069662,0.28476620281105625,0.3085505465742706,31.75377957226334,12.168964002576612
750.0,497.21168699987084,8.484395641676034,928.1111766798189,59.88063815000078,0.29797023433150116,0.28138677116939004,32.243774659826386,13.089614313553486
762.5,496.949375379884,8.256700588444943,1122.6923024168223,75.08663444620333,0.2692506356895308,0.2825653587946224,36.1376024083454,16.07103160904477
775.0,497.42217844380554,7.957682040745132,1190.3135145358733,90.65513601956488,0.24858614560304204,0.23401913008557562,36.62026598238731,15.532866913308908
787.5,497.33567932483163,8.169822737724704,1421.251572872312,109.86856954415258,0.2348992942697521,0.23651415076585858,40.52366960952679,18.178794652545022
800.0,496.8833551747473,8.674952554894393,1711.4198948651017,87.56889017926595,0.22203553852929758,0.1979893495335041,43.364755243025,16.015536196496704
812.5,497.2944707219445,8.45893800781328,1881.992534249055,107.03069726049918,0.20801959404158765,0.19763839567307162,45.90323735146626,18.21904425086629
825.0,497.0049567109408,8.811524205486542,1980.9204594737507,117.92180566603272,0.21148368731823552,0.19767609328258295,47.221025129615214,19.151220669355375
837.5,496.9147373894502,8.607753057093182,1995.403985225802,117.46945753021254,0.20542538179006442,0.1887183492548079,47.178783892326464,18.648480479306514
850.0,497.35751016374167,9.485658466397462,2053.6748040670404,48.3490798435996,0.21639312582053094,0.1833259545616599,46.73431603764709,13.360353586061745
862.5,497.3346050922854,8.961128798935475,1699.8314775054034,84.25069324226142,0.22966448314522836,0.20311414645300907,43.187661893126574,15.790933259998695
875.0,497.77714899630206,9.05948652599295,1475.900224010479,52.09433980532741,0.24818061840443306,0.22731176438973222,40.22151277493788,13.92040379422821
887.5,497.7188080307022,8.840178254547242,1190.3090526238668,85.70521600664883,0.27677100666653587,0.2643072833192779,36.943562385521886,16.126622135154975
900.0,498.2985945654151,9.377083140391735,1017.87494982854,85.13910841211758,0.319511767480293,0.3108786051138832,34.65796743892531,16.378804653128576
912.5,498.2099737224445,9.775419298624104,856.2382374156686,32.8569961452293,0.3549358773246354,0.40180122406313146,32.336855447284734,14.893914677006515
925.0,497.70904061568274,9.069626911985127,655.4847111006568,44.534978407218205,0.3853884578390989,0.3950501272173321,27.831750823634252,12.787606573384345
935.0,497.3799258884821,9.421005338754807,521.7957210716717,30.314159751226867,0.4405522194489322,0.41640373112254814,24.452446842571078,10.31223572443518
945.0,497.5949509284805,9.27598195610941,412.95541466990215,41.18173966507255,0.5141097373880825,0.5883525029598973,23.2487053203445,12.984144304056978
950.0,498.4462877127155,10.04034633946246,408.08305538682646,19.917336163327914,0.5300232231831217,0.539112611503036,22.027299469362674,9.845798973647568
962.5,496.77998005900866,10.371405803566113,314.8186526582608,18.19479115940881,0.6221228252654214,0.5323208740519672,18.86146813833423,7.686309845377048
975.0,498.9284512282991,10.233323353943529,269.6788022519936,17.333505670817708,0.6964441656049587,0.7158775899043084,18.23168054269631,8.941603123806207
987.5,498.62564376877026,10.064902677483804,202.29875906713767,22.684991560152024,0.7768246120094204,0.7523660311895526,15.75898193407754,8.289034353163194
1000.0,497.830152942233,11.725016658546352,179.51134061816032,11.433158946246413,0.9409332829781931,0.816549510388878,14.622509412917651,6.762262406868947
