,M,S1,S2,f,N,C,Merr,S1err,S2err,ferr,Nerr,Cerr
550.0,497.20100000138774,5.330000000005742,12.430000012979024,0.599999997032453,1831.2369461276235,19.66398326759544,0.02319670168196808,0.010981539297322929,0.05809134282746253,0.0014438489251395459,43.2699585404705,7.7888257873605085
562.5,497.20100000243383,5.330000000041142,12.430000000452472,0.5999999679319729,1582.4956615200947,32.60213496856834,0.037795715494183924,0.020139340633569702,0.06696243038672733,0.002268208632438984,40.43259732385832,9.208826104405876
575.0,497.2010000000162,5.330000000000041,12.430001167499386,0.5999999999602516,1387.568497641556,20.40400339567361,0.023863391228189812,0.020685939145935084,0.08028676736877127,0.0023480087260965843,37.82641761314596,7.975379126621219
587.5,497.20100000292376,5.330000000021291,12.430000000053225,0.5999999310356988,1276.3009695218598,15.798926782378043,0.040654202883160906,0.045250206307649865,0.08952474546406908,0.004291664211275414,36.17825799593072,6.944689748337174
600.0,497.2010011076191,5.330000000056106,12.430003704684227,0.5999999967332474,1126.5671997694294,33.59719903586722,0.0271529014421219,0.033855423875480906,0.32340378228398325,0.0043028993656502035,34.42907280562508,9.606294597406805
612.5,496.45366564801856,5.330000000000045,12.430000000058437,0.5999999999975353,983.6622265321282,21.355605013416934,0.23900315899004454,0.03806605925216999,0.371769882824327,0.0062406791497851555,32.020966567977666,7.930444915712487
625.0,496.6380989233081,5.330000000010791,12.929996019557615,0.5999999956608125,864.4311996182263,13.674051806153331,0.25271024981859114,0.023964761573108007,0.35620971369818655,0.0032005686351210816,30.02114700959845,7.094775467128945
637.5,497.14848223198004,5.330000000000911,12.430000035106776,0.5999999999005344,812.5437176182027,8.45102451868307,0.2684659554490736,0.17636358607334124,0.3195766216906524,0.024763023018259722,28.82641094256735,5.177879033135213
650.0,496.6527326005176,5.330000000260936,12.430000000000074,0.599999999999981,733.9378082221792,24.097955212660892,0.2858951522296138,0.19584851828742744,0.3833624794949593,0.02723533857682331,27.886359598536217,8.230954804810619
662.5,496.52522982825536,5.330001251570683,12.547969684031308,0.5937365462425398,697.4204115146209,10.519771027481806,0.3003591769039815,0.1995908714162722,0.2535584893473235,0.02690602859775265,28.04704832565784,9.972273953254785
675.0,496.9639274111815,5.330000000001013,12.430000091536074,0.5999998914166045,682.4703145384525,24.491910052232612,0.296814015098505,0.18708917752007403,0.4993997799297851,0.03297551140725352,26.961354960919323,8.300379844950577
687.5,497.2015263490648,5.330000000006137,12.430000060941607,0.5925762981455528,617.2280655494411,15.786114570566113,0.31588601766978286,0.19803321930123152,0.46542858672126286,0.03463490910498901,25.640036621404874,7.477525485991677
700.0,497.30877396053995,5.330000000001449,12.430012486778264,0.5999999999361147,670.2576262175241,10.781202547620383,0.2907984745747001,0.12520665761745597,0.4711012582093721,0.026917302002110288,26.423765075067593,6.216105771706115
712.5,497.40035869457887,5.330000000008416,12.929999783204579,0.5999999926910048,651.66717136651,23.33231320457585,0.3034281963024341,0.15049395302627788,0.46472706523882046,0.029481114367579386,26.54716290295397,8.739006730151544
725.0,497.0590449191662,5.330000000054206,12.430010995385256,0.5999996388547159,706.9780468916764,15.015486178801552,0.28809324108297574,0.14415821323252587,0.48346830657236683,0.031994584449542895,27.14071644599187,6.67830740923392
737.5,496.8504948253695,5.43058503648521,12.430000000026444,0.5999995023049169,827.6624139326394,4.319454249392951,0.27058504648002213,0.11989740119452819,0.3995807475711288,0.03395612987463409,28.975611661188907,4.025745539709358
