,M,S1,S2,f,N,C,Merr,S1err,S2err,ferr,Nerr,Cerr
550.0,496.5731732811733,5.8509793035443245,10.0,1.0,1718.0501513764157,133.04602731395465,0.15047967559360131,0.13399414782929853,0.0,0.0,42.894818527588995,15.962405278232346
562.5,496.7925706511613,6.395606963793865,10.0,1.0,1497.539614706006,117.47111327923632,0.1766761981826619,0.159546109699213,0.0,0.0,40.26007439858756,15.515286193178326
575.0,496.51886559239165,6.240543239270838,10.0,1.0,1313.3871582839683,94.75272542219714,0.18342775782485887,0.16000369593832886,0.0,0.0,37.51348863992587,13.72852534665958
587.5,496.75372279210393,6.988245428970307,10.0,1.0,1227.3661700403338,64.53082111159192,0.21023125714515345,0.18036011778503092,0.0,0.0,36.16791374668469,12.050130481689294
600.0,496.4376655873593,6.54389068901539,10.0,1.0,1062.1233627174265,98.01989775765286,0.21756934826981933,0.19317273411962965,0.0,0.0,34.113963697845975,14.124743006759033
612.5,496.5590702015341,6.8505392851406555,10.0,1.0,925.5472668845522,79.4415115316387,0.24494470284216163,0.25304370815306587,0.0,0.0,32.43791606606368,14.353227387771732
625.0,496.6266397634969,6.172870044818072,10.0,1.0,794.5386874278148,83.4553781506755,0.23559235387790523,0.2061778671369927,0.0,0.0,29.37853155479121,12.325173816528476
637.5,497.0995982951909,7.273126361261902,10.0,1.0,786.0296618125095,34.96755529332462,0.2718085417909606,0.22993549187466655,0.0,0.0,28.851813426872297,9.017091435328918
650.0,496.67063932536155,7.290746045515494,10.0,1.0,702.8000435969072,55.2460467549416,0.2942891159187866,0.2581306337102598,0.0,0.0,27.74612369158268,11.05501698094535
662.5,496.7789036541358,7.697610381665669,10.0,1.0,667.1434407074295,40.8131306840831,0.3184688842302137,0.28469233643069636,0.0,0.0,26.986568309822474,10.09336563668267
675.0,497.0040962580037,7.295549869193163,10.0,1.0,644.7153229879322,62.2634798263727,0.3138124991185123,0.3106967943062484,0.0,0.0,27.116418919667694,12.360850774065458
687.5,497.1513259162589,7.755267908842093,10.0,1.0,593.3066682609123,39.70386299573403,0.34145226645705407,0.31381731625523557,0.0,0.0,25.63932724629899,10.183752646549358
700.0,497.4176760478395,7.3429013828012515,10.0,1.0,639.322790192809,41.67800687971568,0.31294066906784224,0.3136229562658128,0.0,0.0,26.881319392216312,11.175684721115188
712.5,497.5173458197616,7.223170895828233,10.0,1.0,607.626469392708,67.43591427676809,0.3252710683591147,0.32504470146147213,0.0,0.0,26.60401690204594,12.940146739618072
725.0,497.18511633287926,7.448865749831217,10.0,1.0,673.2104110416526,48.81754903473168,0.3107925274425156,0.32285660506901337,0.0,0.0,27.72058072798842,11.996020167060252
737.5,496.89536797316936,7.843899410069858,10.0,1.0,800.8443057586189,31.18191573926299,0.29311199100385465,0.2979310536576518,0.0,0.0,29.754671555951006,10.752424705193551
750.0,497.16759729024176,8.518152433587726,10.0,1.0,835.2251374320108,51.76424245357714,0.3154928049571595,0.3055588500801285,0.0,0.0,30.683300525974346,12.566316378160579
762.5,496.98834261821617,8.044593315731941,10.0,1.0,1012.8455246880774,78.90559876917568,0.27818374062024986,0.2929177520102604,0.0,0.0,34.43777604820178,15.876024278665913
775.0,497.34964960863863,8.022326271976489,10.0,1.0,1076.9190605163071,83.09304644358807,0.2639006620767077,0.2512910176377918,0.0,0.0,34.91784262528995,15.010805750244103
787.5,497.3578913043982,8.088068615850366,10.0,1.0,1272.5637550176139,105.64077814885486,0.2468240329006619,0.25496722794770754,0.0,0.0,38.55719545125817,17.87384738433839
800.0,496.9543223092917,8.504353706237682,10.0,1.0,1530.4047515910302,96.31597474649622,0.23220998352465472,0.21286455621575318,0.0,0.0,41.319889312982355,16.52930613107489
812.5,497.2577699126838,8.386419955133217,10.0,1.0,1705.4803766218595,90.38013923636734,0.21613056718149437,0.20491925064894012,0.0,0.0,43.58703611009605,16.86984955519116
825.0,497.12661904272164,8.536477538813168,10.0,1.0,1766.2667663113418,128.72362191072085,0.21923885321803027,0.213055157103204,0.0,0.0,45.01666520824176,19.71681642824936
837.5,496.93476183634857,8.366025365627861,10.0,1.0,1785.9780704316486,119.03002959260466,0.21227158656401457,0.19837966012217034,0.0,0.0,44.81823713363417,18.480969118588256
850.0,497.4374602619297,9.371017652770483,10.0,1.0,1857.4118386007087,57.86866467919927,0.22650956284871882,0.19591231072926174,0.0,0.0,44.74497607134526,14.217792000159601
862.5,497.54533404235644,8.94452382259952,10.0,1.0,1529.1553213533205,76.89580414441954,0.24199316264227377,0.2139360763008753,0.0,0.0,40.982574722270215,15.070831027785783
875.0,497.7313366316145,9.123318397486734,10.0,1.0,1348.6902115276866,41.36704039151351,0.260463543184386,0.23964770606948882,0.0,0.0,38.39069999429796,12.896083251211166
887.5,497.84845745126233,8.72260112911651,10.0,1.0,1081.2791571823243,83.86828473102214,0.28771314224556477,0.27143437140594795,0.0,0.0,35.169525642711505,15.469737526439708
900.0,498.1687524860567,8.852394859432751,10.0,1.0,889.9354756869649,89.20126653728944,0.32514788639943504,0.30821595678047675,0.0,0.0,32.3026340344756,15.57245180604361
912.5,498.2203564196472,8.732361310573701,10.0,1.0,722.9626799849009,62.928554805788075,0.36229104466505646,0.4690220733858901,0.0,0.0,31.105934159506035,17.526568755152518
925.0,497.3671749535263,8.954351777972896,10.0,1.0,586.7183741773919,51.27833094686718,0.40741961897447254,0.4374384765738233,0.0,0.0,26.79964955210056,13.515023315686328
935.0,497.6137949814236,9.162624932180382,10.0,1.0,464.70195137098824,31.26191897453323,0.45552848425828074,0.42174497648959797,0.0,0.0,23.014017198499943,9.809032305235888
945.0,497.3189102098495,8.798898210366627,10.0,1.0,364.665624504501,42.35367110015753,0.5265252350577612,0.5890126556245017,0.0,0.0,21.61855550164293,12.040012483437224
950.0,498.3331098181985,9.119842481160498,10.0,1.0,355.0215591021422,36.90555960104125,0.532937710955764,0.5475316849408003,0.0,0.0,20.848020853572734,10.796497202693487
962.5,496.31594738432517,10.233779766233713,10.0,1.0,285.4631957437459,13.538131053610126,0.6454322478258803,0.5732635677604687,0.0,0.0,17.90883955314905,7.020013604346842
975.0,498.60186276505135,9.564449526731343,10.0,1.0,236.15334563935608,19.8491146912787,0.6903948483501097,0.6647516595510616,0.0,0.0,16.74451760982909,8.004169416117591
987.5,498.30296324777987,9.829797770560813,10.0,1.0,180.978919914887,23.023908087179024,0.8061674528801746,0.762310396024537,0.0,0.0,14.870474289468973,7.947570039492701
1000.0,497.9110303337275,11.810075049145796,10.0,1.0,166.53652059239744,10.40727677565567,0.988356822527976,0.8346462018942411,0.0,0.0,14.002525404696598,6.319680101970371
