ksptot,ksth,ksphi,ksminv,emeas,ksalign,total_num,total_soft_num
264.31436,1.5649512,3.802397,507.49063,562.5,0.9988848,20000,6367
261.45248,1.654901,1.9865386,498.84344,562.5,0.99999917,20000,6367
276.35626,1.2276497,2.652808,464.67477,562.5,0.99129826,20000,6367
269.3629,1.619155,2.9730148,497.09442,562.5,0.9912229,20000,6367
270.76825,1.6529831,0.42410687,496.44562,562.5,0.9996356,20000,6367
248.31354,0.9489285,2.0184863,490.8703,562.5,0.9984166,20000,6367
261.44684,1.1748054,1.1604424,492.3001,562.5,0.9996278,20000,6367
271.58408,0.6471863,5.695501,496.7876,562.5,0.9989477,20000,6367
247.58315,1.3246216,5.5186286,489.4178,562.5,0.99502325,20000,6367
255.80504,1.2627728,1.2846676,501.84225,562.5,0.99996495,20000,6367
257.17938,2.2338543,4.098367,496.06604,562.5,0.9807833,20000,6367
237.82898,1.9728459,3.0804842,504.75107,562.5,0.96313137,20000,6367
254.32738,1.957576,5.0680666,490.0924,562.5,0.9999624,20000,6367
280.87204,2.4533951,5.0319853,517.4809,562.5,0.99501187,20000,6367
260.51935,1.7473019,5.009007,498.33377,562.5,0.9966474,20000,6367
258.31293,1.7332603,1.8403412,496.94916,562.5,0.9999596,20000,6367
259.82565,1.1224037,4.804308,497.03052,562.5,0.9995284,20000,6367
265.70883,1.7261795,0.7585017,497.6537,562.5,0.99975735,20000,6367
261.96594,1.5030495,1.6746202,501.74078,562.5,0.99981666,20000,6367
252.36722,1.8459588,3.184693,493.03848,562.5,0.99942845,20000,6367
262.93936,1.5616156,1.2925525,503.68286,562.5,0.9998525,20000,6367
245.52763,1.8557009,3.9152257,479.99814,562.5,0.9998036,20000,6367
260.15964,1.1964056,0.19607869,494.43396,562.5,0.9955934,20000,6367
260.2758,1.534615,1.9112796,487.77716,562.5,0.9997581,20000,6367
267.49872,1.7100986,5.5934243,505.4397,562.5,0.9998392,20000,6367
264.7144,1.3911548,5.4469023,504.53683,562.5,0.9962976,20000,6367
263.52612,1.9718437,4.196782,500.42618,562.5,0.99996024,20000,6367
257.41272,1.1877301,5.2493396,492.20438,562.5,0.9998406,20000,6367
268.40475,2.3813195,2.394226,499.33914,562.5,0.9489746,20000,6367
253.81992,1.4991461,5.73306,489.0785,562.5,0.99986076,20000,6367
251.29105,1.2239002,0.010613811,492.62628,562.5,0.99994,20000,6367
251.91614,0.7232067,1.995263,486.20114,562.5,0.9998587,20000,6367
255.3994,1.1445092,2.385844,500.1305,562.5,0.99991524,20000,6367
266.32104,1.1718913,4.685506,495.00528,562.5,0.99976003,20000,6367
259.91257,2.3112152,0.6978191,493.77728,562.5,0.99999905,20000,6367
260.98093,1.5992913,5.7174377,499.50937,562.5,0.99999654,20000,6367
270.00705,0.6880625,4.475121,502.48773,562.5,0.99741906,20000,6367
