ksptot,ksth,ksphi,ksminv,emeas,ksalign,total_num,total_soft_num
345.46472,2.0395672,5.3487296,495.80334,600.0,0.99964345,20000,4644
336.06747,1.6143777,0.5420489,498.19022,600.0,0.99999994,20000,4644
334.7747,1.8277625,4.7347584,466.63544,600.0,0.99287015,20000,4644
345.98773,1.6996658,5.0703096,512.5095,600.0,0.98971033,20000,4644
344.19492,1.630875,3.1410258,513.6611,600.0,0.9999148,20000,4644
313.83572,1.508666,3.9795606,485.88846,600.0,0.99180806,20000,4644
332.83853,1.8163879,2.2236881,497.07825,600.0,0.99998754,20000,4644
332.2861,2.1768184,4.7912264,494.84714,600.0,0.9985993,20000,4644
335.60254,1.3071878,1.7494327,495.7153,600.0,0.99998283,20000,4644
329.639,1.60824,3.8725452,499.76233,600.0,0.99999994,20000,4644
343.60306,2.1711133,4.053706,499.19315,600.0,0.99971795,20000,4644
345.81802,1.5059882,4.651501,506.16913,600.0,0.9996101,20000,4644
321.44177,1.6995182,0.23149738,487.27234,600.0,0.9999852,20000,4644
333.66074,1.4343532,1.3028486,487.6455,600.0,0.9973117,20000,4644
323.17395,1.8195761,4.8429136,489.1233,600.0,0.9982006,20000,4644
358.79013,0.855926,4.6246376,506.533,600.0,0.99982417,20000,4644
336.16656,1.5933024,5.7960863,501.87344,600.0,0.9993691,20000,4644
336.19263,0.9923777,5.4394183,496.143,600.0,0.9999278,20000,4644
330.30585,0.88837695,4.711478,499.1519,600.0,0.9999325,20000,4644
329.67554,1.5584798,2.1074567,487.5633,600.0,0.99990016,20000,4644
338.65363,1.9220313,1.9145083,497.498,600.0,0.9999075,20000,4644
331.56818,2.2331975,1.4315311,493.47284,600.0,0.999995,20000,4644
331.32047,1.9531341,0.24338941,468.3374,600.0,0.9953167,20000,4644
344.53537,1.962907,0.53875816,504.0243,600.0,0.9999979,20000,4644
335.60315,1.3634716,6.151793,496.69916,600.0,0.99999994,20000,4644
353.71332,1.4952662,3.4063206,509.6961,600.0,0.9995831,20000,4644
