ksptot,ksth,ksphi,ksminv,emeas,ksalign,total_num,total_soft_num
533.652,1.8322864,0.7853217,502.10474,725.0,0.9999953,20000,3860
520.7784,1.5136608,0.14471804,494.0515,725.0,0.9999889,20000,3860
500.4672,1.1920326,5.673724,483.7223,725.0,0.9968775,20000,3860
545.30963,1.757697,5.0170965,504.57672,725.0,0.9999991,20000,3860
568.6209,2.472292,5.8332596,516.2559,725.0,0.99943066,20000,3860
530.9631,1.4595912,1.4812199,504.203,725.0,0.9999232,20000,3860
525.8763,1.8945162,3.4661336,491.90768,725.0,0.9999252,20000,3860
510.633,1.1929836,1.7111572,491.6735,725.0,0.99954045,20000,3860
529.54083,1.5314908,2.365929,498.91635,725.0,0.99995136,20000,3860
533.18524,1.1129266,3.2189646,501.7728,725.0,0.9996938,20000,3860
512.8721,1.8821155,4.5233345,488.23013,725.0,0.9992544,20000,3860
533.9202,1.0118214,2.7195098,502.11322,725.0,0.99999845,20000,3860
531.6827,0.9466483,3.2021558,497.2378,725.0,0.9996718,20000,3860
563.94855,1.9067812,4.1181574,516.64197,725.0,0.999182,20000,3860
515.67474,1.8307765,0.41215754,496.6893,725.0,0.99984735,20000,3860
521.732,1.4859818,3.3768308,493.85727,725.0,0.9999994,20000,3860
528.8088,1.361479,3.270808,500.6785,725.0,0.99993277,20000,3860
531.8105,1.4118539,1.2264378,497.66595,725.0,0.9998891,20000,3860
552.6453,1.6218287,5.9525743,511.1277,725.0,0.9993065,20000,3860
528.4935,1.1811119,4.1435213,498.8697,725.0,0.99957246,20000,3860
482.13605,1.610988,0.33749753,483.33823,725.0,0.9998947,20000,3860
525.1598,1.9305072,4.0026007,497.05304,725.0,0.9999754,20000,3860
543.9053,1.2566773,1.208661,504.44427,725.0,0.9999944,20000,3860
516.6658,1.036725,5.69047,491.51938,725.0,0.99994373,20000,3860
527.417,1.0496895,2.8496563,489.56573,725.0,0.9999918,20000,3860
532.20294,1.1938901,3.3203163,498.10052,725.0,0.9999753,20000,3860
559.3434,1.3220557,4.786543,510.76743,725.0,0.9999862,20000,3860
543.79816,1.1271517,4.375907,506.20468,725.0,0.99969614,20000,3860
526.8839,1.4245703,1.1429765,498.47333,725.0,0.99999946,20000,3860
486.9971,0.6649252,1.8501611,479.74866,725.0,0.9990833,20000,3860
523.44366,1.471769,1.5733483,494.32086,725.0,0.99999547,20000,3860
532.70056,2.1378915,5.566103,499.79977,725.0,0.9999615,20000,3860
493.89145,1.6181071,3.192599,491.47864,725.0,0.9999903,20000,3860
524.5309,1.8246448,5.003504,497.00827,725.0,0.9999907,20000,3860
507.05264,1.540046,2.8431275,488.9423,725.0,0.9999916,20000,3860
515.1232,1.6004128,2.543411,457.4445,725.0,0.96227324,20000,3860
542.403,1.7545142,2.046472,503.96512,725.0,0.9999973,20000,3860
522.56824,1.2810028,0.9241782,495.26447,725.0,0.9999764,20000,3860
530.59485,1.719764,0.39770272,500.29462,725.0,0.9999288,20000,3860
545.354,2.6591375,1.1199332,509.892,725.0,0.9995741,20000,3860
531.13135,1.5832604,1.4519031,500.75192,725.0,0.9999149,20000,3860
537.0229,2.2317386,3.8196225,504.4625,725.0,0.99992883,20000,3860
511.6629,2.0200286,1.8557811,491.99075,725.0,0.99958235,20000,3860
548.51245,2.0034235,4.9076796,503.69214,725.0,0.999579,20000,3860
532.979,1.7928123,4.752445,504.2382,725.0,0.9963841,20000,3860
511.9677,1.2516922,2.6354187,494.62933,725.0,0.9999936,20000,3860
520.5103,1.1869923,5.307989,491.6723,725.0,0.99982345,20000,3860
543.4329,1.6689434,2.698081,507.53223,725.0,0.9999876,20000,3860
537.7398,1.2822208,6.260452,503.29767,725.0,0.99995124,20000,3860
518.3856,2.0653586,2.1737182,496.85928,725.0,0.9999004,20000,3860
515.2444,1.6450428,3.57081,493.2078,725.0,0.99997735,20000,3860
483.75854,1.619766,5.6606297,448.8567,725.0,0.9813522,20000,3860
538.3541,1.4922607,0.047331963,506.5883,725.0,0.9999876,20000,3860
508.41934,0.6132837,1.2468565,489.92563,725.0,0.99950224,20000,3860
520.4351,1.8921877,2.887639,496.18103,725.0,0.99999523,20000,3860
527.26917,1.3889226,1.659018,498.7926,725.0,0.9999293,20000,3860
511.63467,1.7264886,3.0288162,488.36652,725.0,0.9997251,20000,3860
525.7344,1.2220534,0.7342286,493.44138,725.0,0.9998066,20000,3860
520.6877,2.1875575,0.8683628,493.8609,725.0,0.99932057,20000,3860
538.7971,2.5899425,0.9614563,503.5551,725.0,0.99973536,20000,3860
520.5191,1.4558581,4.098449,495.05356,725.0,0.99913096,20000,3860
558.4393,1.3080679,5.1969333,512.281,725.0,0.99997634,20000,3860
530.7816,1.9202931,4.8421445,507.64124,725.0,0.9998824,20000,3860
537.4619,1.7271944,3.1308398,502.67587,725.0,0.99997413,20000,3860
532.39813,1.6820132,1.4667422,502.89655,725.0,0.99967045,20000,3860
541.2772,1.2399913,5.1407795,501.66595,725.0,0.9999948,20000,3860
528.7275,1.5694152,2.5370378,499.3865,725.0,0.99997014,20000,3860
496.1825,1.7605547,0.2780776,483.52567,725.0,0.9990615,20000,3860
526.0555,1.8865231,5.06494,497.70502,725.0,0.99996585,20000,3860
516.4063,1.5092872,1.5375657,487.07663,725.0,0.99898285,20000,3860
530.3475,1.0250504,0.20307629,502.74286,725.0,0.9998608,20000,3860
520.39026,1.3490577,4.5906744,498.69525,725.0,0.99885267,20000,3860
540.2556,1.7892311,2.3167388,503.503,725.0,0.9989412,20000,3860
533.29224,2.2609575,0.54196566,500.7975,725.0,0.9999569,20000,3860
524.208,1.7379531,4.940061,496.8052,725.0,0.99999887,20000,3860
516.86945,2.319071,2.7558818,493.31268,725.0,0.99998295,20000,3860
532.0077,1.3296366,2.5343752,498.9524,725.0,0.9999583,20000,3860
533.3439,0.985577,1.2062265,499.2463,725.0,0.9998833,20000,3860
523.4818,0.8214436,3.1481552,497.66562,725.0,0.99995965,20000,3860
531.02484,2.6154935,2.7440603,495.03873,725.0,0.9948993,20000,3860
525.1595,2.0882268,0.078557044,491.66956,725.0,0.9999924,20000,3860
536.23364,1.4407887,0.13868938,502.37943,725.0,0.99963915,20000,3860
