ksptot,ksth,ksphi,ksminv,emeas,ksalign,total_num,total_soft_num
606.82214,1.5017098,5.4581466,495.44592,812.5,0.999754,20000,11728
636.8631,1.366462,2.913814,492.69815,812.5,0.9999419,20000,11728
648.7664,1.6880311,2.3993964,500.9737,812.5,0.9999413,20000,11728
683.6314,1.9467342,0.43783185,509.74237,812.5,0.99995464,20000,11728
639.9253,0.96108705,3.7686567,497.09033,812.5,0.9999671,20000,11728
622.0409,2.3651166,0.9272132,493.04205,812.5,0.9999921,20000,11728
651.32385,1.201948,0.54184663,506.46887,812.5,0.99994874,20000,11728
658.6684,2.1174736,3.125481,506.18777,812.5,0.9998704,20000,11728
621.5742,1.9287267,0.064412385,491.0297,812.5,0.9999914,20000,11728
625.38007,2.2744317,5.213399,488.06772,812.5,0.9999718,20000,11728
616.86566,1.8591825,6.060604,478.24518,812.5,0.9994923,20000,11728
625.86115,1.6210849,1.062419,492.77603,812.5,0.999781,20000,11728
641.5019,1.1373067,2.3123894,491.34454,812.5,0.9999925,20000,11728
640.4142,1.1902734,2.7944207,492.02936,812.5,0.9999713,20000,11728
648.12585,1.7236077,3.480516,499.3384,812.5,0.9999988,20000,11728
645.4665,1.7040745,2.3517704,498.09598,812.5,0.9999687,20000,11728
648.17847,1.8729818,3.8983867,503.47266,812.5,0.99995536,20000,11728
648.5017,1.9024048,0.2422342,505.8749,812.5,0.999977,20000,11728
645.70825,1.1017885,4.971811,501.7515,812.5,0.99999887,20000,11728
662.9127,1.5883598,0.45859167,506.78564,812.5,0.9996435,20000,11728
646.8812,1.3621149,5.1114573,496.0035,812.5,0.9998753,20000,11728
687.6552,1.9201751,6.085156,509.04437,812.5,0.9997639,20000,11728
626.43896,1.4232954,1.9565976,486.5633,812.5,0.9998204,20000,11728
631.34784,1.8412637,1.5557631,493.7654,812.5,0.9999981,20000,11728
679.23474,1.7548639,3.4024694,509.69525,812.5,0.99995357,20000,11728
636.3235,1.166592,5.3206825,492.33005,812.5,0.99992067,20000,11728
621.73645,1.0671378,0.61336046,484.4453,812.5,0.9982343,20000,11728
640.4248,1.277976,3.2456987,497.1293,812.5,0.9999079,20000,11728
630.25464,1.4917057,6.0357327,496.80307,812.5,0.9997311,20000,11728
653.7935,2.2708158,0.4944472,500.96097,812.5,0.9996877,20000,11728
648.67426,1.6429139,5.5921235,500.60724,812.5,0.99998826,20000,11728
633.9479,1.8743289,5.318035,494.81952,812.5,0.99990886,20000,11728
597.7698,1.5884249,1.6953034,439.10355,812.5,0.9945288,20000,11728
