ksptot,ksth,ksphi,ksminv,emeas,ksalign,total_num,total_soft_num
724.1808,1.9441495,2.510202,522.40894,825.0,0.9999354,20000,13228
657.9124,1.1614546,5.075396,502.5562,825.0,0.9999127,20000,13228
655.2659,2.0278587,2.6288218,494.28174,825.0,0.99998176,20000,13228
658.3142,1.4517847,2.7766747,497.12134,825.0,0.9998663,20000,13228
664.19196,1.9243966,1.769346,495.57657,825.0,0.99996287,20000,13228
671.4324,2.2390943,0.16998075,498.8133,825.0,0.9957157,20000,13228
665.73615,1.5439684,0.25559855,498.39743,825.0,0.99992645,20000,13228
647.4372,2.326784,0.94760066,489.498,825.0,0.99993783,20000,13228
658.38275,1.6919917,3.3938518,495.27072,825.0,0.9996498,20000,13228
666.15875,1.4457777,5.78749,495.72247,825.0,0.9999999,20000,13228
659.69006,1.1165613,2.097421,501.66562,825.0,0.9999999,20000,13228
655.8896,2.0899155,4.0920253,498.1336,825.0,0.99983984,20000,13228
678.0874,1.0375122,3.6602447,499.60147,825.0,0.99967134,20000,13228
648.50116,1.2908529,3.9046934,498.0965,825.0,0.99998564,20000,13228
634.76575,2.1302748,4.43202,492.57,825.0,0.9996035,20000,13228
657.1974,2.646861,0.59559786,495.45773,825.0,0.99701256,20000,13228
652.08984,1.8130026,1.5003097,495.2298,825.0,0.9999972,20000,13228
698.1757,0.8298264,0.82215726,511.61612,825.0,0.9999768,20000,13228
715.59515,2.20488,3.9342647,516.8234,825.0,0.99988055,20000,13228
659.2637,2.1349752,0.49793327,491.90216,825.0,0.9998178,20000,13228
646.97253,1.4792956,4.848609,496.37778,825.0,0.9999999,20000,13228
641.74133,1.4560809,0.7484347,489.25565,825.0,0.9999938,20000,13228
683.7473,1.4887501,3.9796047,504.14807,825.0,0.9999818,20000,13228
597.97363,1.55343,0.858023,487.14944,825.0,0.99995625,20000,13228
662.335,1.2921638,0.5625698,498.52197,825.0,0.99999774,20000,13228
646.90814,1.0919366,5.7380795,495.51883,825.0,0.9999995,20000,13228
636.2212,1.8619016,0.54259676,485.73447,825.0,0.9999981,20000,13228
641.92255,1.6380857,1.1726052,490.19296,825.0,0.9994882,20000,13228
668.3792,1.0700276,3.294306,498.21683,825.0,0.9999908,20000,13228
644.22064,1.8419509,4.674042,490.66223,825.0,0.9998899,20000,13228
671.4956,1.7164128,4.174934,508.67654,825.0,0.99978715,20000,13228
681.766,1.8238492,0.10059568,505.24307,825.0,0.9999811,20000,13228
686.25903,1.9639622,1.8865329,507.77655,825.0,0.9999997,20000,13228
665.3198,1.6722308,2.3542085,518.57385,825.0,0.99918664,20000,13228
620.0596,1.0910921,5.47251,488.3035,825.0,0.9864532,20000,13228
596.5644,2.0833232,0.8096616,432.89307,825.0,0.92177665,20000,13228
659.48627,1.5667628,2.7329714,497.91425,825.0,0.9997328,20000,13228
650.12714,1.3078604,2.5464616,496.5463,825.0,0.9999782,20000,13228
628.11615,2.1211672,1.3538036,489.88446,825.0,0.9999423,20000,13228
654.4827,0.8983596,3.8509276,493.57806,825.0,0.9998883,20000,13228
643.717,1.525303,3.3199484,494.12674,825.0,0.99982613,20000,13228
688.14355,1.5593035,1.4923356,509.12317,825.0,0.9999956,20000,13228
671.7655,1.8120321,6.2803173,501.663,825.0,0.9999997,20000,13228
681.968,1.9064472,3.3837998,504.65076,825.0,0.9999892,20000,13228
627.14026,1.6152587,3.7859504,497.67807,825.0,0.99894917,20000,13228
670.61914,1.8100003,2.1308374,505.4814,825.0,0.99980277,20000,13228
603.0681,1.4038175,3.9359472,542.08203,825.0,0.9834758,20000,13228
684.907,1.161524,5.1809845,508.06555,825.0,0.99977446,20000,13228
648.8713,1.5065792,3.4268837,495.26688,825.0,0.9999885,20000,13228
614.1542,1.2571371,2.0601218,474.36548,825.0,0.9999739,20000,13228
625.73285,1.7895614,6.1277113,487.15414,825.0,0.99981064,20000,13228
661.5683,1.4322459,1.2949274,495.19818,825.0,0.99854416,20000,13228
659.89264,1.189661,4.5659533,490.62863,825.0,0.99938667,20000,13228
650.03186,1.6280825,3.058548,494.73962,825.0,0.9999915,20000,13228
658.99927,1.7175175,2.580325,496.10156,825.0,0.9999939,20000,13228
680.2546,1.4509078,3.733906,505.2662,825.0,0.99994236,20000,13228
653.0263,1.7971509,6.0170636,495.71506,825.0,0.99998426,20000,13228
690.25885,1.0806673,2.380156,510.23804,825.0,0.9974518,20000,13228
615.0754,2.2450917,4.9936943,478.3874,825.0,0.99953055,20000,13228
618.3391,2.5515366,0.3037879,481.08557,825.0,0.98991907,20000,13228
645.3254,1.3991607,2.4171557,490.35983,825.0,0.9999991,20000,13228
645.33984,1.2873195,0.22429676,491.6809,825.0,0.9999973,20000,13228
671.51215,1.4219093,0.22745544,508.69525,825.0,0.9999635,20000,13228
643.3943,2.2504904,1.172612,489.62067,825.0,0.9998762,20000,13228
654.03265,1.5324161,1.3895866,495.89664,825.0,0.99999905,20000,13228
658.3462,1.478552,4.73894,499.28192,825.0,0.999996,20000,13228
662.1401,1.9229101,2.5624838,501.55515,825.0,0.9986005,20000,13228
693.139,1.3501942,1.3895857,512.66614,825.0,0.9998141,20000,13228
647.55,1.7195427,5.677601,495.83383,825.0,0.99964005,20000,13228
656.84784,1.3963033,0.3081572,488.836,825.0,0.99999523,20000,13228
651.2216,1.160542,3.8365784,496.33084,825.0,0.99998873,20000,13228
653.5893,1.5756657,2.8697822,496.4062,825.0,0.999961,20000,13228
659.8548,1.6639072,2.0084412,499.33026,825.0,0.9999846,20000,13228
650.6137,1.3601263,1.445193,487.8178,825.0,0.99997556,20000,13228
681.2602,1.5933653,2.069083,507.4144,825.0,0.9997923,20000,13228
633.77295,2.2261648,6.2761383,486.68698,825.0,0.9989599,20000,13228
660.23035,0.73714185,1.0300313,517.6987,825.0,0.9970432,20000,13228
680.54834,2.1283538,2.2497118,502.34497,825.0,0.9954052,20000,13228
591.3391,1.2490867,2.532203,480.2423,825.0,0.9977843,20000,13228
653.0163,2.1251452,4.5687804,496.49576,825.0,0.9998244,20000,13228
644.1333,1.4122345,2.9720674,496.75653,825.0,0.99996495,20000,13228
663.32733,2.0969465,5.0463347,507.0031,825.0,0.99986255,20000,13228
652.73285,1.4687206,5.447789,497.1798,825.0,0.99999243,20000,13228
590.6623,2.2687495,3.2130947,466.3083,825.0,0.9987533,20000,13228
654.5179,0.9628122,1.0845885,497.09607,825.0,0.9999445,20000,13228
650.22614,1.7016195,5.5247726,505.12872,825.0,0.99999917,20000,13228
648.80725,0.7199201,0.16026522,498.77316,825.0,0.9972444,20000,13228
641.041,1.6582443,1.2656351,488.3681,825.0,0.998203,20000,13228
676.5455,1.2291394,1.6181105,506.83075,825.0,0.9999761,20000,13228
628.9414,1.2200278,2.7074983,493.1801,825.0,0.9999693,20000,13228
655.64905,1.1197838,2.304823,485.87903,825.0,0.9992502,20000,13228
648.9582,1.5223261,4.5604315,485.4089,825.0,0.99970734,20000,13228
666.0203,1.4267496,4.1277556,499.85587,825.0,0.99999744,20000,13228
646.0519,1.5238663,0.059338924,483.9018,825.0,0.99998647,20000,13228
686.02216,1.2818788,0.32584932,506.86182,825.0,0.99993515,20000,13228
658.7409,1.0111469,0.8575038,503.05545,825.0,0.9999995,20000,13228
672.4154,1.3646168,4.051216,504.47314,825.0,0.9999336,20000,13228
670.99243,1.5886878,1.8501776,504.20288,825.0,0.99999857,20000,13228
674.0233,1.8134581,1.0207484,507.59036,825.0,0.9991647,20000,13228
645.3992,1.7079515,4.566574,491.78577,825.0,0.9999862,20000,13228
653.25806,1.6939836,2.462394,495.91205,825.0,0.9999737,20000,13228
667.52954,2.185435,1.9678743,503.22372,825.0,0.9999982,20000,13228
647.1121,1.7727914,4.0195184,490.51404,825.0,0.9992808,20000,13228
648.6477,0.9191601,4.2658076,491.8219,825.0,0.99997187,20000,13228
717.91144,2.3022225,2.9412105,524.4326,825.0,0.9999229,20000,13228
602.8974,1.4876539,0.6153211,487.8372,825.0,0.99964654,20000,13228
686.3414,1.5776689,4.3375177,505.07913,825.0,0.9994883,20000,13228
