ksptot,ksth,ksphi,ksminv,emeas,ksalign,total_num,total_soft_num
726.08325,1.0974818,1.4965202,486.84686,950.0,0.999696,20000,5420
821.26294,1.8510628,5.9325485,500.01666,950.0,0.9999967,20000,5420
827.3932,2.3049462,4.454107,511.9512,950.0,0.99949837,20000,5420
737.91077,2.14124,2.0346596,488.627,950.0,0.999999,20000,5420
792.12146,0.65387267,0.5794351,503.78195,950.0,0.92463565,20000,5420
836.9655,0.7780767,5.6923027,510.9965,950.0,0.9999975,20000,5420
829.2592,1.958503,0.828285,508.23486,950.0,0.99982023,20000,5420
795.67395,2.4390283,0.96170145,545.9075,950.0,0.9686739,20000,5420
755.23413,1.925398,3.3658268,505.0419,950.0,0.9999739,20000,5420
820.64075,0.8393567,3.936038,503.10138,950.0,0.9988781,20000,5420
762.39624,2.176586,0.84097993,495.60596,950.0,0.9999976,20000,5420
772.2082,1.3631734,4.831952,489.2311,950.0,0.9959957,20000,5420
828.8567,1.8764957,5.9552956,496.30975,950.0,0.99995667,20000,5420
780.2401,1.6279165,5.417073,492.6317,950.0,0.9999884,20000,5420
749.1852,1.4454526,2.8390853,495.24048,950.0,0.9999856,20000,5420
837.39703,2.0609891,5.88801,510.37247,950.0,0.99997276,20000,5420
779.8022,2.158947,3.0206425,484.50012,950.0,0.9995783,20000,5420
859.05206,2.070958,0.41885003,524.4766,950.0,0.99995315,20000,5420
810.9562,0.9379178,3.6439865,511.15707,950.0,0.9998402,20000,5420
728.5092,1.816954,5.2593207,473.4409,950.0,0.9997927,20000,5420
775.1461,2.1687334,4.796104,509.32016,950.0,0.9993785,20000,5420
798.72546,0.7610894,1.313698,497.93137,950.0,0.99993074,20000,5420
862.68494,1.9982798,4.3577185,514.7036,950.0,0.99985176,20000,5420
744.04193,1.9060745,5.3508124,504.49634,950.0,0.9998629,20000,5420
850.331,1.9597865,1.1001072,506.34335,950.0,0.999912,20000,5420
745.2925,2.2396946,5.3285875,469.61404,950.0,0.9973077,20000,5420
732.27466,2.0500474,4.4962325,481.3625,950.0,0.99418783,20000,5420
806.6249,2.1198351,5.226337,500.7228,950.0,0.99944466,20000,5420
801.17126,1.0826062,0.1400498,490.19437,950.0,0.9999559,20000,5420
784.53064,0.8421745,3.7122815,494.3929,950.0,0.9999589,20000,5420
725.5221,1.2031486,2.4554582,475.75656,950.0,0.99975085,20000,5420
832.89374,1.0568178,1.1092399,503.39777,950.0,0.996762,20000,5420
780.98694,1.0936154,4.7640133,495.37277,950.0,0.9967571,20000,5420
717.7532,1.6180462,0.26722005,470.411,950.0,0.9999331,20000,5420
773.53564,2.0295568,3.999022,490.35785,950.0,0.999403,20000,5420
808.68097,1.2819524,5.143905,496.08884,950.0,0.99990356,20000,5420
829.60425,0.96943027,5.613689,503.11227,950.0,0.99833,20000,5420
802.14496,0.78462464,1.6974543,493.89664,950.0,0.9995118,20000,5420
828.4436,1.1606672,0.8087356,503.0974,950.0,0.9999452,20000,5420
823.2829,1.7796605,1.6872845,499.22855,950.0,0.9999912,20000,5420
738.67926,0.87112993,1.5790635,497.46405,950.0,0.99997264,20000,5420
792.26556,1.7441422,4.633532,502.14545,950.0,0.99998605,20000,5420
799.84503,0.92122835,0.56298655,496.0729,950.0,0.99999994,20000,5420
826.23065,1.2791928,4.789067,500.9489,950.0,0.9999624,20000,5420
788.94226,1.3143001,2.7977679,500.02914,950.0,0.9999935,20000,5420
825.40466,1.8564587,3.2193675,511.08142,950.0,0.99999607,20000,5420
834.74365,1.452931,5.6556582,502.8272,950.0,0.99987197,20000,5420
776.11743,0.9358673,4.7965417,486.15533,950.0,0.99952656,20000,5420
774.269,1.5382513,3.7808886,506.24463,950.0,0.9999591,20000,5420
812.0947,1.9521483,3.9435384,499.58664,950.0,1.0,20000,5420
764.3503,1.1775175,2.7239707,504.7327,950.0,0.9996023,20000,5420
729.47424,2.151479,3.6732209,497.86755,950.0,0.9999988,20000,5420
796.1389,0.94855785,4.920552,492.51282,950.0,0.99999964,20000,5420
809.05493,1.9466605,3.3459997,497.71384,950.0,0.999997,20000,5420
753.8742,1.7996181,0.55924344,479.9841,950.0,0.999801,20000,5420
824.404,2.0258985,4.397113,500.38647,950.0,0.99999964,20000,5420
775.8283,1.2901598,4.421235,498.29645,950.0,0.99979997,20000,5420
762.7331,1.9867634,4.75557,501.72375,950.0,0.9999866,20000,5420
755.99115,2.3603218,1.2435343,498.56854,950.0,0.9999945,20000,5420
874.215,2.2588065,3.7757208,536.35114,950.0,0.9998166,20000,5420
732.4019,0.92681843,2.6719658,495.02374,950.0,0.99996746,20000,5420
800.14905,1.7974138,2.582294,494.4403,950.0,0.9999843,20000,5420
889.91907,1.0504558,1.6502665,533.8007,950.0,0.9999298,20000,5420
814.00854,1.2871951,1.1415699,498.4569,950.0,0.9999931,20000,5420
720.6809,0.8357035,3.6274586,490.6354,950.0,0.99969184,20000,5420
820.51666,1.2090244,2.5229826,499.44635,950.0,0.9999935,20000,5420
818.25433,1.9482517,2.465399,500.52505,950.0,0.99998266,20000,5420
831.1144,0.9412159,5.0775437,509.27466,950.0,0.9917856,20000,5420
824.17804,1.4353038,5.37225,521.1803,950.0,0.9998718,20000,5420
785.0445,0.76360273,0.18019535,486.82486,950.0,0.9999955,20000,5420
727.7728,0.81714654,1.2724998,496.90402,950.0,0.99841714,20000,5420
824.7334,1.8172673,5.724423,494.23172,950.0,0.9999981,20000,5420
729.3424,0.9198098,1.9826612,432.14557,950.0,0.905039,20000,5420
728.80054,0.97277224,2.4992661,503.14716,950.0,0.9999794,20000,5420
813.20435,1.4902165,0.7045821,500.19235,950.0,0.9999999,20000,5420
829.64746,1.361584,5.1839437,503.919,950.0,0.9999994,20000,5420
799.2,0.97902477,0.30618173,493.826,950.0,0.9998615,20000,5420
784.30414,1.5733948,1.3757702,489.51294,950.0,0.99999857,20000,5420
808.2624,2.1324606,0.9239744,496.28915,950.0,0.9999489,20000,5420
775.3499,0.96274936,6.126976,487.1977,950.0,0.9999052,20000,5420
721.50256,0.7978912,1.7707081,488.92838,950.0,0.9999996,20000,5420
783.8406,1.9870983,2.080052,490.01172,950.0,0.9999913,20000,5420
855.6801,1.7939137,4.628574,511.4404,950.0,0.99892646,20000,5420
787.8681,1.1582074,2.266241,490.96237,950.0,0.99982035,20000,5420
838.6178,1.027219,3.9169145,505.5972,950.0,0.99657965,20000,5420
719.18787,1.9545486,4.3732357,501.20764,950.0,0.99999875,20000,5420
836.707,2.4400194,3.415789,518.59595,950.0,0.99926406,20000,5420
789.5176,1.470899,2.8775487,497.25204,950.0,0.9999999,20000,5420
803.0127,1.42277,1.3783866,496.0317,950.0,0.99998015,20000,5420
863.16614,0.7051337,5.690777,511.06158,950.0,0.99965924,20000,5420
809.6406,0.87803054,0.516195,498.89853,950.0,0.9999947,20000,5420
802.6688,1.7031271,0.82408506,497.47095,950.0,0.9998933,20000,5420
