filename,mcname,label,lum,err
scan2019_tr_ph_fc_e550.1_v7.root,tr_ph_kskl_550.1_70029.root,550.1,496.833,1.14065
scan2019_tr_ph_fc_e550_v7.root,tr_ph_kskl_550_70260.root,550,1424.27,1.9392
scan2019_tr_ph_fc_e537.5_v7.root,tr_ph_kskl_537.5_70914.root,537.5,1224.66,1.75856
scan2019_tr_ph_fc_e562.5_v7.root,tr_ph_kskl_562.5_71178.root,562.5,1048.68,1.7044
scan2019_tr_ph_fc_e575_v7.root,tr_ph_kskl_575_71544.root,575,1054.35,1.74597
scan2019_tr_ph_fc_e587.5_v7.root,tr_ph_kskl_587.5_71908.root,587.5,1167.38,1.87792
scan2019_tr_ph_fc_e600_v7.root,tr_ph_kskl_600_72268.root,600,1161.83,1.90969
scan2019_tr_ph_fc_e612.5_v7.root,tr_ph_kskl_612.5_72545.root,612.5,1059.04,1.86299
scan2019_tr_ph_fc_e625_v7.root,tr_ph_kskl_625_72787.root,625,1091.9,1.92848
scan2019_tr_ph_fc_e637.5_v7.root,tr_ph_kskl_637.5_73035.root,637.5,1021.19,1.90042
scan2019_tr_ph_fc_e650_v7.root,tr_ph_kskl_650_73374.root,650,954.102,1.87173
scan2019_tr_ph_fc_e662.5_v7.root,tr_ph_kskl_662.5_73636.root,662.5,1109.24,2.05438
scan2019_tr_ph_fc_e675_v7.root,tr_ph_kskl_675_73926.root,675,1139.35,2.12232
scan2019_tr_ph_fc_e687.5_v7.root,tr_ph_kskl_687.5_74169.root,687.5,1147.48,2.16768
scan2019_tr_ph_fc_e700_v7.root,tr_ph_kskl_700_74366.root,700,1007.51,2.06867
scan2019_tr_ph_fc_e712.5_v7.root,tr_ph_kskl_712.5_74528.root,712.5,1010.5,2.10857
scan2019_tr_ph_fc_e725_v7.root,tr_ph_kskl_725_74704.root,725,1333.8,2.46544
scan2019_tr_ph_fc_e737.5_v7.root,tr_ph_kskl_737.5_74974.root,737.5,954.895,2.12209
scan2019_tr_ph_fc_e750_v7.root,tr_ph_kskl_750_75459.root,750,1045.6,2.25674
scan2019_tr_ph_fc_e762_v7.root,tr_ph_kskl_762_75730.root,762,1367.32,2.61596
scan2019_tr_ph_fc_e775_v7.root,tr_ph_kskl_775_76033.root,775,989.271,2.26543
scan2019_tr_ph_fc_e787.5_v7.root,tr_ph_kskl_787.5_76243.root,787.5,1260.24,2.59773
scan2019_tr_ph_fc_e800_v7.root,tr_ph_kskl_800_76450.root,800,1432.31,2.81015
scan2019_tr_ph_fc_e812.5_v7.root,tr_ph_kskl_812.5_76723.root,812.5,1890.39,3.28289
scan2019_tr_ph_fc_e825_v7.root,tr_ph_kskl_825_77131.root,825,1503.73,2.97409
scan2019_tr_ph_fc_e837.5_v7.root,tr_ph_kskl_837.5_77414.root,837.5,1067.52,2.54467
scan2019_tr_ph_fc_e850_v7.root,tr_ph_kskl_850_77631.root,850,1009.59,2.5068
scan2019_tr_ph_fc_e862.5_v7.root,tr_ph_kskl_862.5_77854.root,862.5,1040.17,2.57813
scan2019_tr_ph_fc_e875_v7.root,tr_ph_kskl_875_78066.root,875,1019.52,2.59089
scan2019_tr_ph_fc_e887.5_v7.root,tr_ph_kskl_887.5_78274.root,887.5,984.871,2.5778
scan2019_tr_ph_fc_e900_v7.root,tr_ph_kskl_900_78506.root,900,1060.93,2.71622
scan2019_tr_ph_fc_e912.5_v7.root,tr_ph_kskl_912.5_78722.root,912.5,1023.07,2.71093
scan2019_tr_ph_fc_e925_v7.root,tr_ph_kskl_925_78931.root,925,1056.93,2.79567
scan2019_tr_ph_fc_e936_v7.root,tr_ph_kskl_936_79212.root,936,1902.53,3.78018
scan2019_tr_ph_fc_e950_v7.root,tr_ph_kskl_950_79625.root,950,1962.57,3.89619
scan2019_tr_ph_fc_e962.5_v7.root,tr_ph_kskl_962.5_80068.root,962.5,2004.7,3.9961
scan2019_tr_ph_fc_e978_v7.root,tr_ph_kskl_978_80506.root,978,451.273,1.92426
scan2019_tr_ph_fc_e975_v7.root,tr_ph_kskl_975_80603.root,975,3972.32,5.68205
scan2019_tr_ph_fc_e987.5_v7.root,tr_ph_kskl_987.5_81313.root,987.5,2272.43,4.3567
scan2019_tr_ph_fc_e955_v7.root,tr_ph_kskl_955_81775.root,955,1254.61,3.14302
scan2019_tr_ph_fc_e951.1_v7.root,tr_ph_kskl_951.1_82106.root,951.1,2134.05,4.07993
scan2019_tr_ph_fc_e945_v7.root,tr_ph_kskl_945_82528.root,945,2303.93,4.20849
scan2019_tr_ph_fc_e641_v7.root,tr_ph_kskl_641_82925.root,641,6291.37,4.74255
scan2019_tr_ph_fc_e612.6_v7.root,tr_ph_kskl_612.5_84504.root,612.6,1179.14,1.96537
