name,lum,dEmin,dEmax,Emean,Nsig,dNsig
525.0000,469.3390,0.0000,0.0000,523.5800,804.7929,29.1049
537.5000,554.2310,0.0000,0.0000,537.4100,910.6881,30.6632
550.0000,493.5010,0.0000,0.0000,548.4400,387.7093,20.2310
562.5000,549.0940,0.0000,0.0000,562.1300,399.0236,20.5402
575.0000,493.7100,0.0000,0.0000,575.3100,180.6345,13.8589
587.5000,522.7210,0.0000,0.0000,587.0500,179.9851,14.1245
600.0000,557.4520,0.0000,0.0000,598.0400,100.0116,10.0009
612.5000,536.3750,0.0000,0.0000,611.7100,127.8495,11.7114
625.0000,411.0090,0.0000,0.0000,622.4700,45.5837,6.8436
637.5000,458.1560,0.0000,0.0000,636.3900,72.9833,8.9379
650.0000,462.9160,0.0000,0.0000,647.5700,52.4144,7.4214
662.5000,530.8930,0.0000,0.0000,661.6800,34.4295,6.0661
675.0000,560.1530,0.0000,0.0000,671.8000,32.8360,5.8875
687.5000,179.9740,0.0000,0.0000,686.7500,8.9935,2.9984
700.0000,532.3430,0.0000,0.0000,697.0000,20.9927,4.5814
712.5000,539.2350,0.0000,0.0000,711.5300,24.7839,5.7326
725.0000,439.3120,0.0000,0.0000,721.7000,17.9970,4.2421
737.5000,515.9260,0.0000,0.0000,735.7300,21.9475,4.8533
750.0000,556.8520,0.0000,0.0000,747.0500,33.5576,6.4447
762.5000,539.5400,0.0000,0.0000,761.1800,51.5381,7.3550
775.0000,512.0870,0.0000,0.0000,771.6000,56.6782,7.9530
787.5000,530.1090,0.0000,0.0000,785.9300,75.8923,9.1815
800.0000,449.7860,0.0000,0.0000,796.9000,66.4762,8.9204
812.5000,517.8060,0.0000,0.0000,811.4600,70.9005,8.5623
825.0000,462.6990,0.0000,0.0000,821.5200,49.9982,7.0709
837.5000,572.1510,0.0000,0.0000,834.7200,59.9015,8.7473
850.0000,494.2360,0.0000,0.0000,846.4300,24.9949,5.1555
862.5000,530.7120,0.0000,0.0000,861.5600,19.2871,5.0404
875.0000,542.3530,0.0000,0.0000,870.8200,16.6456,4.1442
910.0000,2630.0150,25.4200,23.3100,912.2800,19.9434,4.9323
950.0000,3052.2560,24.0500,31.5600,970.7500,9.4814,3.9338
