name,TF,CF,TC,eTF,eCF,TrigEff,vTF,vCF,TrigErr
525.0000,320.0000,388.0000,154.0000,0.2849,0.3256,0.5178,0.0193,0.0215,0.0201
537.5000,530.0000,20.0000,398.0000,0.9500,0.4290,0.9715,0.0106,0.0162,0.0061
550.0000,239.0000,64.0000,105.0000,0.6199,0.3064,0.7363,0.0370,0.0247,0.0273
562.5000,244.0000,9.0000,174.0000,0.9459,0.4167,0.9685,0.0166,0.0240,0.0098
575.0000,110.0000,29.0000,51.0000,0.6341,0.3190,0.7509,0.0529,0.0364,0.0384
587.5000,108.0000,4.0000,80.0000,0.9419,0.4263,0.9666,0.0251,0.0358,0.0145
600.0000,47.0000,26.0000,27.0000,0.5091,0.3684,0.6900,0.0668,0.0550,0.0501
612.5000,78.0000,4.0000,53.0000,0.9153,0.4060,0.9497,0.0360,0.0424,0.0217
625.0000,31.0000,4.0000,12.0000,0.7222,0.2889,0.8025,0.1028,0.0668,0.0754
637.5000,53.0000,0.0000,27.0000,0.9655,0.3415,0.9773,0.0333,0.0521,0.0220
650.0000,36.0000,3.0000,16.0000,0.8095,0.3148,0.8695,0.0837,0.0626,0.0586
662.5000,20.0000,1.0000,18.0000,0.9048,0.4750,0.9500,0.0626,0.0780,0.0337
675.0000,23.0000,3.0000,10.0000,0.7333,0.3143,0.8171,0.1106,0.0774,0.0786
687.5000,6.0000,0.0000,3.0000,0.8000,0.3636,0.8727,0.1633,0.1389,0.1076
700.0000,12.0000,0.0000,9.0000,0.9091,0.4348,0.9486,0.0830,0.1012,0.0478
712.5000,18.0000,0.0000,15.0000,0.9412,0.4571,0.9681,0.0555,0.0830,0.0305
725.0000,8.0000,0.0000,10.0000,0.9167,0.5500,0.9625,0.0767,0.1086,0.0357
737.5000,17.0000,1.0000,7.0000,0.8000,0.3077,0.8615,0.1206,0.0888,0.0854
750.0000,24.0000,0.0000,17.0000,0.9474,0.4186,0.9694,0.0499,0.0744,0.0293
762.5000,35.0000,0.0000,20.0000,0.9545,0.3684,0.9713,0.0434,0.0633,0.0276
775.0000,30.0000,3.0000,30.0000,0.8857,0.5000,0.9429,0.0530,0.0630,0.0275
787.5000,35.0000,2.0000,45.0000,0.9388,0.5610,0.9731,0.0339,0.0545,0.0153
800.0000,33.0000,2.0000,36.0000,0.9250,0.5211,0.9641,0.0411,0.0589,0.0202
812.5000,32.0000,1.0000,40.0000,0.9535,0.5541,0.9793,0.0317,0.0574,0.0144
825.0000,25.0000,3.0000,22.0000,0.8519,0.4694,0.9214,0.0671,0.0706,0.0371
837.5000,37.0000,2.0000,31.0000,0.9143,0.4571,0.9535,0.0467,0.0591,0.0258
850.0000,8.0000,0.0000,20.0000,0.9545,0.7000,0.9864,0.0434,0.0823,0.0136
862.5000,13.0000,1.0000,13.0000,0.8750,0.5000,0.9375,0.0802,0.0928,0.0418
875.0000,11.0000,0.0000,7.0000,0.8889,0.4000,0.9333,0.0994,0.1069,0.0608
910.0000,14.0000,1.0000,15.0000,0.8889,0.5161,0.9462,0.0721,0.0883,0.0362
950.0000,16.0000,1.0000,7.0000,0.8000,0.3200,0.8640,0.1206,0.0915,0.0840
