name,rad,eff,err
525.0,0.24694286147543484,0.28233086197977325,0.008930491104982619
537.5,0.2575949657469244,0.2927833668162174,0.009363719004102544
550.0,0.2651639920857479,0.29917963259366537,0.0042677489670586155
562.5,0.2665077416590737,0.28769944196310276,0.00900907374915505
575.0,0.2882699848315655,0.3103789224753879,0.011035922593940428
587.5,0.2885706059935811,0.3058209684150122,0.010530490398441672
600.0,0.29631638264322496,0.30349203610245856,0.009986386215077858
612.5,0.29083133718952986,0.2931051280869377,0.009642686411741597
625.0,0.3069780213310411,0.31549806646041634,0.011492689127380384
637.5,0.3016547973626532,0.30733844610463124,0.012096155519191742
650.0,0.3143325532312958,0.3183513840927158,0.012945267179046205
662.5,0.30631264015231346,0.31031952204166896,0.012665043687444366
675.0,0.31129887145548574,0.3068299122027728,0.013277412073960715
687.5,0.30857916939055335,0.29381106173025384,0.012456941664376442
700.0,0.30917710855657077,0.3001710267474726,0.013081312947902601
712.5,0.31908055822874853,0.31428737556510294,0.013859114191806743
725.0,0.3145712114362933,0.31248394563409027,0.012178422690667046
737.5,0.2866981754694878,0.2916522584064418,0.011615066678619002
750.0,0.27503088971468975,0.2994794080380372,0.012597199252166347
762.5,0.27609893090628335,0.3010293692633174,0.013214115721293385
775.0,0.2607082115138294,0.28575833009729396,0.01263722477192164
787.5,0.26829250776166524,0.30254209032504237,0.012954862796729416
800.0,0.2557344116714206,0.2854719451906703,0.01121000417898027
812.5,0.2853532198254442,0.3121854542914055,0.013785115911795986
825.0,0.2954796929674106,0.3092489159393004,0.01750682663663039
837.5,0.31895285019438074,0.3074922251037643,0.014696128975748068
850.0,0.3441908485391862,0.28756663031431445,0.012797780183755714
862.5,0.4224046980416281,0.30310587914895687,0.013499133854633305
875.0,0.49409974583454086,0.2937981242934832,0.013485204134897733
887.5,0.5830374857919719,0.3068862873475395,0.014879365208800566
900.0,0.6787968513005417,0.3028179813796279,0.013098803283523752
912.5,0.6286659568398651,0.2841044064070762,0.012833452431185555
925.0,0.4566833417690774,0.2797657219377911,0.013118946773562123
935.0,0.3738885666925113,0.2715113664094336,0.010549863530209092
945.0,0.34142804871952637,0.2895828711203593,0.015538148759186687
950.0,0.323737385679361,0.28721492350804567,0.014605143845778323
962.5,0.3366920538812677,0.2968262294891717,0.013478214147796153
975.0,0.32175846750461357,0.2771651329466757,0.012527036107527312
987.5,0.32268013378065175,0.28856620172882724,0.013291344616034206
1000.0,0.3115977920435371,0.28115784167335783,0.006752582038080879
