name,lum,dEmin,dEmax,Emean,Nsig,dNsig
525.00,469.34,0.00,0.00,523.58,827.29,29.37
537.50,554.23,0.00,0.00,537.41,907.23,30.41
550.00,493.50,0.00,0.00,548.44,393.85,20.15
562.50,549.09,0.00,0.00,562.13,398.13,20.75
575.00,493.71,0.00,0.00,575.31,162.16,13.19
587.50,522.72,0.00,0.00,587.05,182.95,13.78
600.00,557.45,0.00,0.00,598.04,96.99,9.85
612.50,536.38,0.00,0.00,611.71,125.78,11.73
625.00,411.01,0.00,0.00,622.47,42.96,6.55
637.50,458.16,0.00,0.00,636.39,73.71,8.76
650.00,462.92,0.00,0.00,647.57,48.14,7.23
662.50,530.89,0.00,0.00,661.68,31.89,5.90
675.00,560.15,0.00,0.00,671.80,33.66,5.98
687.50,179.97,0.00,0.00,686.75,8.00,2.83
700.00,532.34,0.00,0.00,697.00,21.99,4.69
712.50,539.24,0.00,0.00,711.53,22.40,5.23
725.00,439.31,0.00,0.00,721.70,16.70,4.39
737.50,515.93,0.00,0.00,735.73,20.97,5.05
750.00,556.85,0.00,0.00,747.05,30.56,5.88
762.50,539.54,0.00,0.00,761.18,49.96,7.23
775.00,512.09,0.00,0.00,771.60,48.87,7.50
787.50,530.11,0.00,0.00,785.93,68.32,8.58
800.00,449.79,0.00,0.00,796.90,62.84,8.43
812.50,517.81,0.00,0.00,811.46,72.03,8.49
825.00,462.70,0.00,0.00,821.52,42.67,6.75
837.50,572.15,0.00,0.00,834.72,56.44,8.18
850.00,494.24,0.00,0.00,846.43,22.21,4.87
862.50,530.71,0.00,0.00,861.56,16.86,4.98
880.00,1102.99,8.15,7.89,878.97,14.40,4.20
910.00,1398.35,14.83,13.04,911.28,16.87,4.43
950.00,3723.29,28.82,37.90,964.41,11.80,4.33
