name,TF,CF,TC,eTF,eCF,TrigEff,vTF,vCF,TrigErr
525.00,319.00,384.00,154.00,0.29,0.33,0.52,0.02,0.02,0.02
537.50,510.00,20.00,393.00,0.95,0.44,0.97,0.01,0.02,0.01
550.00,235.00,62.00,103.00,0.62,0.31,0.74,0.04,0.02,0.03
562.50,237.00,9.00,170.00,0.94,0.42,0.97,0.02,0.02,0.01
575.00,97.00,27.00,45.00,0.62,0.32,0.74,0.06,0.04,0.04
587.50,107.00,4.00,76.00,0.94,0.42,0.96,0.03,0.04,0.02
600.00,45.00,25.00,27.00,0.52,0.38,0.70,0.07,0.06,0.05
612.50,75.00,4.00,52.00,0.91,0.41,0.95,0.04,0.04,0.02
625.00,27.00,3.00,13.00,0.78,0.33,0.85,0.10,0.07,0.07
637.50,49.00,0.00,27.00,0.97,0.36,0.98,0.03,0.05,0.02
650.00,32.00,3.00,17.00,0.82,0.35,0.88,0.08,0.07,0.05
662.50,18.00,0.00,17.00,0.95,0.49,0.97,0.05,0.08,0.03
675.00,24.00,3.00,10.00,0.73,0.31,0.81,0.11,0.08,0.08
687.50,6.00,0.00,2.00,0.75,0.30,0.82,0.19,0.14,0.14
700.00,12.00,1.00,9.00,0.83,0.43,0.91,0.10,0.10,0.06
712.50,14.00,0.00,13.00,0.93,0.48,0.97,0.06,0.09,0.03
725.00,9.00,0.00,10.00,0.92,0.52,0.96,0.08,0.11,0.04
737.50,17.00,1.00,6.00,0.78,0.28,0.84,0.13,0.09,0.10
750.00,20.00,0.00,16.00,0.94,0.45,0.97,0.05,0.08,0.03
762.50,32.00,0.00,21.00,0.96,0.40,0.97,0.04,0.07,0.03
775.00,24.00,3.00,30.00,0.89,0.55,0.95,0.05,0.07,0.02
787.50,28.00,1.00,43.00,0.96,0.60,0.98,0.03,0.06,0.01
800.00,32.00,2.00,34.00,0.92,0.51,0.96,0.04,0.06,0.02
812.50,30.00,1.00,41.00,0.95,0.58,0.98,0.03,0.06,0.01
825.00,23.00,3.00,19.00,0.83,0.45,0.91,0.07,0.07,0.04
837.50,34.00,2.00,31.00,0.91,0.48,0.96,0.05,0.06,0.02
850.00,7.00,0.00,18.00,0.95,0.70,0.99,0.05,0.09,0.01
862.50,14.00,0.00,12.00,0.93,0.46,0.96,0.07,0.09,0.04
880.00,12.00,0.00,9.00,0.91,0.43,0.95,0.08,0.10,0.05
910.00,10.00,1.00,11.00,0.86,0.52,0.93,0.09,0.10,0.05
950.00,14.00,1.00,10.00,0.85,0.42,0.91,0.10,0.10,0.06
