1.04716,0.860423
1.07482,0.85732
1.09688,0.863543
1.12426,0.872512
1.15062,0.879704
1.1741,0.88563
1.19608,0.892414
1.22342,0.897235
1.24494,0.899809
1.27278,0.901481
1.29514,0.906178
1.32336,0.906467
1.3436,0.912311
1.3735,0.918893
1.394,0.923883
1.42306,0.915052
1.4434,0.898066
1.47146,0.870411
1.4941,0.863329
1.52236,0.854142
1.5432,0.857632
1.57186,0.858761
1.5938,0.867708
1.62292,0.883858
1.64304,0.902437
1.66944,0.948686
1.69286,1.00816
1.72312,1.12798
1.74164,1.19675
1.82456,1.42367
1.9415,1.06836
1.27706,0.904332
1.35654,0.912419
1.43492,0.909296
1.5146,0.858104
1.595,0.866056
1.6741,0.960448
1.71584,1.09991
1.75772,1.2691
1.8356,1.59663
1.92502,1.14478
1.977,0.893922
1.28204,0.902974
1.29954,0.906883
1.3497,0.913038
1.40112,0.926242
1.44988,0.888492
1.4991,0.85964
1.5497,0.856409
1.60172,0.871196
1.6501,0.914131
1.67894,0.972279
1.69362,1.01172
1.71446,1.0903
1.7343,1.17863
1.76658,1.307
1.81014,1.39546
1.85112,1.45651
1.87094,1.65071
1.87778,1.54447
1.88376,1.47584
1.9007,1.29748
1.92126,1.1658
1.94248,1.06924
1.96392,0.887079
1.98248,0.828111
2.00662,0.836586
1.0749,0.858782
1.09868,0.863995
1.09934,0.864876
1.125,0.872958
1.14972,0.879659
1.17546,0.885528
1.19978,0.892614
1.22502,0.896801
1.22522,0.897245
1.24922,0.900639
1.2741,0.904703
1.28184,0.902163
1.29992,0.905819
1.32458,0.915319
1.34958,0.912532
1.37422,0.917513
1.39972,0.930621
1.42518,0.913906
1.451,0.889419
1.47472,0.875698
1.50004,0.862071
1.5256,0.856607
1.54998,0.856997
1.57484,0.862011
1.5997,0.869217
1.62524,0.885488
1.64882,0.911269
1.67506,0.960052
1.70042,1.03122
1.72304,1.12343
1.74974,1.23755
1.77504,1.40499
1.80102,1.5124
1.82676,1.41259
1.85118,1.49356
1.87248,1.62646
1.88966,1.39907
1.9003,1.30996
1.90208,1.28501
1.9121,1.21722
1.92564,1.13579
1.94576,1.05735
1.95242,0.890051
