name,lum,dEmin,dEmax,Emean,Nsig,dNsig
641.00,3097.96,0.00,0.00,641.02,305.53,18.67
650.00,876.63,0.00,0.00,649.77,93.42,10.02
675.00,1225.14,0.00,0.00,674.85,81.34,9.49
700.00,876.66,0.00,0.00,700.56,35.99,6.40
725.00,1114.22,0.00,0.00,724.94,60.71,8.10
750.00,1107.58,0.00,0.00,749.55,92.37,10.48
775.00,970.86,0.00,0.00,774.85,103.46,10.72
800.00,1241.54,0.00,0.00,800.86,162.90,13.24
825.00,1381.86,0.00,0.00,825.05,187.51,14.37
840.00,635.65,0.00,0.00,839.47,77.50,9.35
850.00,942.09,0.00,0.00,846.81,45.75,7.27
860.00,922.38,0.00,0.00,857.23,29.76,5.64
870.00,941.91,0.00,0.00,867.15,19.16,4.80
885.00,2157.73,6.32,5.79,883.29,22.01,5.40
905.00,2081.03,5.54,4.65,905.07,7.03,3.32
925.00,2900.73,5.60,4.92,925.56,14.94,4.87
936.00,1048.64,0.00,0.00,935.47,8.62,3.66
939.00,13405.45,1.77,1.67,938.89,59.43,13.64
942.00,1332.97,0.00,0.00,941.88,8.88,3.23
950.00,1172.72,0.00,0.00,950.35,8.40,3.22
960.00,1350.78,0.00,0.00,960.63,3.46,2.33
971.00,1775.70,0.00,0.00,971.24,4.56,2.48
981.00,1322.97,0.00,0.00,981.96,6.43,2.88
990.00,1246.80,0.00,0.00,991.24,6.82,2.87
1003.50,3788.26,0.00,0.00,1003.31,1.67,2.61
