name,TF,CF,TC,eTF,eCF,TrigEff,vTF,vCF,TrigErr
641.0000,83.0000,4.0000,258.0000,0.9811,0.7551,0.9954,0.0084,0.0232,0.0021
650.0000,13.0000,0.0000,87.0000,0.9888,0.8627,0.9985,0.0111,0.0339,0.0016
675.0000,25.0000,4.0000,64.0000,0.9286,0.7143,0.9796,0.0306,0.0471,0.0094
700.0000,11.0000,1.0000,31.0000,0.9412,0.7273,0.9840,0.0398,0.0664,0.0115
725.0000,13.0000,2.0000,49.0000,0.9434,0.7812,0.9876,0.0314,0.0513,0.0075
750.0000,24.0000,3.0000,75.0000,0.9500,0.7525,0.9876,0.0242,0.0427,0.0064
775.0000,20.0000,2.0000,85.0000,0.9663,0.8037,0.9934,0.0190,0.0382,0.0039
800.0000,36.0000,3.0000,133.0000,0.9710,0.7836,0.9937,0.0142,0.0314,0.0032
825.0000,49.0000,2.0000,146.0000,0.9800,0.7462,0.9949,0.0114,0.0309,0.0030
840.0000,27.0000,0.0000,60.0000,0.9839,0.6854,0.9949,0.0159,0.0489,0.0051
850.0000,20.0000,0.0000,32.0000,0.9706,0.6111,0.9886,0.0286,0.0657,0.0113
860.0000,15.0000,1.0000,17.0000,0.9000,0.5294,0.9529,0.0655,0.0844,0.0319
870.0000,9.0000,1.0000,19.0000,0.9091,0.6667,0.9697,0.0599,0.0847,0.0214
885.0000,14.0000,1.0000,18.0000,0.9048,0.5588,0.9580,0.0626,0.0839,0.0287
905.0000,7.0000,2.0000,6.0000,0.7000,0.4667,0.8400,0.1382,0.1247,0.0826
925.0000,12.0000,3.0000,25.0000,0.8667,0.6667,0.9556,0.0611,0.0745,0.0226
936.0000,6.0000,4.0000,12.0000,0.7222,0.6500,0.9028,0.1028,0.1041,0.0461
939.0000,39.0000,9.0000,93.0000,0.9038,0.7015,0.9713,0.0288,0.0394,0.0094
942.0000,0.0000,1.0000,12.0000,0.8667,0.9286,0.9905,0.0850,0.0665,0.0107
950.0000,4.0000,0.0000,8.0000,0.9000,0.6429,0.9643,0.0905,0.1237,0.0346
960.0000,4.0000,2.0000,6.0000,0.7000,0.5833,0.8750,0.1382,0.1367,0.0707
971.0000,3.0000,1.0000,6.0000,0.7778,0.6364,0.9192,0.1315,0.1389,0.0569
981.0000,5.0000,0.0000,10.0000,0.9167,0.6471,0.9706,0.0767,0.1126,0.0286
990.0000,3.0000,0.0000,9.0000,0.9091,0.7143,0.9740,0.0830,0.1166,0.0260
1003.5000,6.0000,0.0000,21.0000,0.9565,0.7586,0.9895,0.0416,0.0781,0.0106
