label,lum
525,10422
537.5,9010
562.5,7484
575,6947
587.5,6527
550,8084
612.5,5793
625,5492
637.5,5181
600,6231
662.5,4789
675,4550
687.5,4282
650,4989
712.5,4295
725,4837
737.5,5985
700,4092
762.5,9230
775,10930
787.5,11986
750,7494
812.5,13296
825,12861
837.5,11498
800,12898
862.5,7066
875,4858
887.5,3299
850,9458
912.5,1791
925,1692
935,1736
945,1975
900,2343
962.5,2515
975,3227
987.5,4025
950,2045
1000,5020
