ksptot,ksth,ksphi,ksminv,emeas,ksalign,total_num,total_soft_num
355.62198,1.9296854,0.6291929,493.87402,612.5,0.99935937,20000,5747
366.8355,1.5449406,2.7887042,494.62518,612.5,0.9993901,20000,5747
360.1205,1.4493241,3.8590045,502.49106,612.5,0.9995329,20000,5747
389.33994,0.3903687,3.212764,536.0039,612.5,0.9814271,20000,5747
364.91833,1.9562525,1.450893,508.86206,612.5,0.999781,20000,5747
350.506,1.3022237,1.378447,497.39285,612.5,0.99966973,20000,5747
352.5761,1.5183247,1.4226085,495.33896,612.5,0.99997866,20000,5747
353.3938,1.3160801,3.0484111,494.32916,612.5,0.99986964,20000,5747
350.7428,2.3536613,0.86275625,497.54352,612.5,0.99999994,20000,5747
348.79718,1.3164984,4.390092,493.87146,612.5,0.9999574,20000,5747
353.6197,1.7167783,4.3401475,494.8265,612.5,0.9999997,20000,5747
366.8721,0.78553694,1.511876,503.78214,612.5,0.9984419,20000,5747
337.46033,0.9957309,3.122971,487.74228,612.5,0.99945027,20000,5747
354.1953,2.2505672,0.15213734,497.88272,612.5,0.9999962,20000,5747
364.0695,1.5908766,5.3845696,511.51617,612.5,0.99997336,20000,5747
358.38242,1.6405602,4.4682264,498.07037,612.5,0.99998116,20000,5747
362.7199,1.794425,0.9827191,502.6492,612.5,0.999892,20000,5747
354.74893,2.208504,4.077894,471.69504,612.5,0.9997053,20000,5747
340.2898,1.7867157,0.033184096,494.22284,612.5,0.9999997,20000,5747
356.994,1.0710047,0.1925539,492.11212,612.5,0.9997416,20000,5747
331.49722,0.92851245,6.005788,483.9546,612.5,0.999731,20000,5747
366.24673,0.71294445,4.1829624,507.37976,612.5,0.99997944,20000,5747
364.32394,1.8040107,0.0501942,446.5831,612.5,0.9653862,20000,5747
363.05695,1.5894548,5.3988366,505.92078,612.5,0.9999778,20000,5747
358.04184,0.9297003,2.2218287,491.11154,612.5,0.9998528,20000,5747
364.64157,1.5572251,4.0834427,505.77087,612.5,0.999669,20000,5747
361.7393,1.2747672,6.076349,498.4213,612.5,0.9996181,20000,5747
352.6799,1.619435,4.3454223,494.9925,612.5,0.99987507,20000,5747
363.43182,1.684263,3.0947146,480.83487,612.5,0.99994534,20000,5747
361.49155,1.4380871,0.7267228,496.2412,612.5,0.9998642,20000,5747
362.22217,2.4169762,1.3112885,499.4408,612.5,0.99936837,20000,5747
359.74457,1.9427514,0.10698457,500.70825,612.5,0.9999864,20000,5747
364.77725,1.1460247,0.7147381,499.3767,612.5,0.9999717,20000,5747
373.42453,1.697016,6.0655055,508.30432,612.5,0.99855345,20000,5747
358.04758,2.0517101,2.2665887,506.17123,612.5,0.99998355,20000,5747
350.7165,1.9966877,2.8251498,491.70087,612.5,0.98563445,20000,5747
358.88324,1.6249009,5.6766047,496.99274,612.5,0.9996187,20000,5747
351.0498,1.6307477,2.1114297,495.64014,612.5,0.9999977,20000,5747
342.40616,1.3550884,3.1700497,488.73004,612.5,0.9974469,20000,5747
355.1852,1.5365165,3.050136,494.5745,612.5,0.9995968,20000,5747
361.47226,1.8836609,4.5989113,501.96274,612.5,0.9999955,20000,5747
352.43988,1.7404425,4.881314,498.25958,612.5,0.9993122,20000,5747
332.50876,1.7989968,0.977968,499.75842,612.5,0.99949,20000,5747
366.39764,2.6065834,5.468406,504.62045,612.5,0.9784911,20000,5747
366.04218,1.029749,3.7049296,499.0416,612.5,0.9997762,20000,5747
354.76303,1.6283027,0.16026165,495.295,612.5,0.9983576,20000,5747
358.1533,1.5743062,5.587114,499.631,612.5,0.9994939,20000,5747
346.17493,1.0894656,6.1655173,502.31433,612.5,0.9676131,20000,5747
353.45258,0.8919105,4.827643,494.47244,612.5,0.9986062,20000,5747
361.39066,1.4521961,2.976502,501.99362,612.5,0.999735,20000,5747
330.12067,2.381745,5.0069795,470.25235,612.5,0.9843125,20000,5747
349.612,1.4821455,1.8092774,491.87057,612.5,0.9993919,20000,5747
370.97012,1.7836887,3.791009,501.00137,612.5,0.9999968,20000,5747
360.96414,1.7570261,2.0363533,500.0608,612.5,0.9990966,20000,5747
370.76886,2.2205594,5.801315,506.78265,612.5,0.9996544,20000,5747
348.74573,0.4843401,4.1844864,516.81244,612.5,0.99843365,20000,5747
345.11374,1.3250992,4.6289625,490.16687,612.5,0.99731255,20000,5747
359.6469,1.815874,0.069838665,501.37698,612.5,0.99991006,20000,5747
365.35663,0.9380271,3.4790552,506.79413,612.5,0.99980986,20000,5747
357.63943,1.3648942,4.4935136,499.17557,612.5,0.99999744,20000,5747
356.40125,1.8667364,1.538974,500.38034,612.5,0.9998503,20000,5747
