ksptot,ksth,ksphi,ksminv,emeas,ksalign,total_num,total_soft_num
471.2159,2.1264563,5.2929587,494.69128,712.5,0.9999986,20000,4283
517.077,2.261284,0.41350716,499.51047,712.5,0.99992657,20000,4283
488.62274,1.5651741,4.819857,497.75458,712.5,0.99835724,20000,4283
487.94174,2.255134,2.295481,487.1099,712.5,0.99983513,20000,4283
484.20996,2.0388756,4.164318,443.1749,712.5,0.9443353,20000,4283
512.993,0.6824699,5.584198,498.4575,712.5,0.99972713,20000,4283
500.9093,1.9471483,2.1534922,499.1939,712.5,0.9999628,20000,4283
472.88733,2.463877,5.5608706,474.4665,712.5,0.9964713,20000,4283
512.1504,1.2300746,4.834203,500.17053,712.5,0.999997,20000,4283
502.76276,1.6393842,2.1883814,495.66208,712.5,0.99999607,20000,4283
486.52673,2.4145737,1.3830379,482.1318,712.5,0.99853235,20000,4283
536.09314,1.6434243,5.0783353,506.5588,712.5,0.99995065,20000,4283
479.31467,1.9412532,2.3490105,488.7988,712.5,0.99982697,20000,4283
517.76904,1.4293361,2.2663848,501.65945,712.5,0.9986229,20000,4283
497.70865,1.8975581,4.6576624,494.3169,712.5,0.99999785,20000,4283
520.48755,1.0893513,4.6392326,500.8625,712.5,0.9998177,20000,4283
495.4164,1.2680967,1.1762781,491.96762,712.5,0.99987316,20000,4283
481.93423,1.6520851,5.1478186,482.96762,712.5,0.9999973,20000,4283
510.28784,1.6529127,2.670388,499.97638,712.5,0.99994385,20000,4283
511.3173,1.094463,0.584544,500.1053,712.5,0.99963915,20000,4283
500.62576,1.1965166,5.7528276,492.949,712.5,0.9991149,20000,4283
483.51248,1.1449695,3.4528666,486.7751,712.5,0.99996597,20000,4283
498.7192,2.075533,0.21013223,492.44534,712.5,0.99998057,20000,4283
532.80914,2.0177014,0.64813966,508.50482,712.5,0.9999979,20000,4283
529.1782,1.501962,1.4013277,506.50974,712.5,0.9999999,20000,4283
509.17816,1.4225718,4.8249826,497.8068,712.5,0.99994963,20000,4283
509.49222,1.8109186,0.23445463,496.44754,712.5,0.999988,20000,4283
516.9691,1.4667895,3.2546704,500.16837,712.5,0.99528646,20000,4283
502.48578,1.9638819,1.9179608,491.28613,712.5,0.9958367,20000,4283
515.4464,1.766994,5.7728815,493.73166,712.5,0.9996968,20000,4283
528.28033,2.2092154,2.3460083,525.6042,712.5,0.99437934,20000,4283
514.1257,1.0551004,6.1042814,497.07584,712.5,0.9997537,20000,4283
500.7498,1.3934269,0.3444875,492.29703,712.5,0.9999718,20000,4283
490.2153,1.0619595,0.75388175,483.8731,712.5,0.9998862,20000,4283
514.5116,1.3879019,0.061603777,500.60403,712.5,0.9994439,20000,4283
502.67896,1.7829976,0.79889053,494.0375,712.5,0.99998987,20000,4283
510.82693,2.186544,2.685188,495.56537,712.5,0.9999852,20000,4283
511.93912,1.4877766,4.994223,497.5879,712.5,0.9998672,20000,4283
476.8828,2.2602274,5.0524096,494.93906,712.5,0.9998663,20000,4283
529.94617,1.3447785,4.217802,504.36145,712.5,0.99735117,20000,4283
530.09753,1.7783712,2.9651678,507.30844,712.5,0.9999969,20000,4283
535.2854,2.0552754,4.821288,504.09982,712.5,0.99989694,20000,4283
496.65237,1.5587572,0.18729204,490.6536,712.5,0.9997743,20000,4283
517.7309,1.5438911,0.6733357,499.04602,712.5,0.9998518,20000,4283
523.93567,1.2831638,5.9231896,512.57,712.5,0.9995947,20000,4283
490.8773,1.5493606,1.4514372,491.88556,712.5,0.9999981,20000,4283
537.8127,2.1395469,1.3816407,511.52945,712.5,0.9995485,20000,4283
507.16983,1.4977092,5.2294145,499.33765,712.5,0.99992746,20000,4283
543.2783,2.5131805,1.8270699,515.61536,712.5,0.9999875,20000,4283
501.14172,1.0043015,0.15258972,498.844,712.5,0.9999994,20000,4283
496.7976,2.171737,6.174121,486.54077,712.5,0.9997184,20000,4283
464.09702,0.80305284,1.9498523,476.47974,712.5,0.9963914,20000,4283
498.01083,0.81957686,1.7781208,493.66705,712.5,0.99987334,20000,4283
503.9771,2.0435104,4.339134,493.38498,712.5,0.99561036,20000,4283
502.08707,2.05815,2.5895183,492.65952,712.5,0.99989605,20000,4283
512.7328,0.88828415,3.4800906,500.7412,712.5,0.99956137,20000,4283
512.01825,1.5015553,4.0072336,501.9435,712.5,0.9997799,20000,4283
519.72504,1.8271292,5.9183393,504.18372,712.5,0.99985504,20000,4283
501.52814,1.5243033,1.528146,501.22906,712.5,0.9998564,20000,4283
517.8224,1.2701647,4.449956,497.27728,712.5,0.9999505,20000,4283
505.61145,1.1230773,0.3625181,495.95474,712.5,0.9997452,20000,4283
533.2148,1.6575267,2.618058,518.9817,712.5,0.99998015,20000,4283
521.6813,1.9175632,5.511146,504.8868,712.5,0.99991155,20000,4283
519.94635,1.4468495,2.2356777,505.1629,712.5,0.9997682,20000,4283
500.3698,2.3696465,2.239895,501.60718,712.5,0.9985804,20000,4283
508.592,1.2091914,6.1729293,493.42136,712.5,0.9999751,20000,4283
525.91907,1.5876461,0.4916186,505.42334,712.5,0.9999363,20000,4283
