ksptot,ksth,ksphi,ksminv,emeas,ksalign,total_num,total_soft_num
751.6803,1.5641022,1.0704439,493.6517,950.0,0.9997804,20000,2302
751.2739,2.147374,2.3678892,499.14227,950.0,0.99968034,20000,2302
812.9479,0.83825916,4.206132,497.72092,950.0,0.9999963,20000,2302
895.1114,2.3773305,2.2025533,522.2392,950.0,0.9998116,20000,2302
818.0414,1.3339254,2.8770301,499.85074,950.0,0.999992,20000,2302
818.4037,0.877669,4.4283338,502.26428,950.0,0.9998842,20000,2302
728.4141,1.1112598,3.5503814,505.40863,950.0,0.99983346,20000,2302
726.7043,1.0380228,5.4373007,501.81134,950.0,0.9999919,20000,2302
794.9042,0.6909276,3.4294496,488.3482,950.0,0.9966952,20000,2302
773.1623,2.057089,3.2502365,487.36957,950.0,0.99999064,20000,2302
795.46185,1.2662505,0.18349281,493.75754,950.0,0.9999996,20000,2302
772.6689,2.036592,4.6673837,482.69327,950.0,0.9999531,20000,2302
728.2133,2.4706047,3.6762388,485.66495,950.0,0.99993074,20000,2302
808.1757,1.2189399,5.7091026,498.89835,950.0,0.9999809,20000,2302
824.8487,1.6350846,1.0070826,501.64288,950.0,0.9999988,20000,2302
800.4149,2.17909,4.987717,497.62973,950.0,0.9999439,20000,2302
800.1373,1.9663237,4.3436613,490.95642,950.0,0.9999516,20000,2302
868.9258,1.6973089,5.34592,514.1799,950.0,0.9999676,20000,2302
804.74146,1.7093852,1.8983114,493.5402,950.0,0.9996863,20000,2302
779.5065,1.1363822,1.1513913,489.36658,950.0,0.9999849,20000,2302
757.11676,0.88584244,2.8715217,467.1714,950.0,0.9974852,20000,2302
731.6636,2.0198145,2.1790733,492.14426,950.0,0.99998695,20000,2302
790.1733,1.6273707,0.3728927,493.7109,950.0,0.9999984,20000,2302
811.104,1.577904,2.2952268,499.50348,950.0,1.0,20000,2302
803.18964,1.7916969,2.6858273,495.3244,950.0,0.9999964,20000,2302
781.33435,1.2649566,4.460564,490.7189,950.0,0.99999726,20000,2302
798.2644,2.1917694,2.3675494,495.22623,950.0,0.9999665,20000,2302
829.3645,0.82484454,5.8875046,510.41617,950.0,0.9991798,20000,2302
788.8377,1.1044317,1.9611096,497.3616,950.0,0.9999398,20000,2302
775.9081,1.2221315,6.0986266,488.74655,950.0,0.9999952,20000,2302
797.13,2.0714498,2.3227494,493.58423,950.0,0.99999964,20000,2302
753.1001,2.5260594,2.9075227,521.79126,950.0,0.99983054,20000,2302
828.3812,1.08468,0.7949715,504.20593,950.0,1.0,20000,2302
818.4631,2.244272,3.0381095,508.3539,950.0,0.9992538,20000,2302
812.03015,2.238546,5.1849933,544.49335,950.0,0.9999623,20000,2302
833.7433,1.9588501,0.95467025,507.05957,950.0,0.9996871,20000,2302
816.00006,1.0222589,4.915817,498.39258,950.0,0.9999985,20000,2302
