1010.47	0.01	69.87	0.50
1012.96	0.01	152.45	1.01
1015.07	0.02	341.10	5.11
1016.11	0.01	575.08	3.84
1017.15	0.02	993.19	5.02
1017.16	0.02	984.71	8.89
1018.05	0.03	1584.27	11.00
1019.12	0.02	2228.59	8.13
1019.21	0.03	2230.81	18.14
1019.40	0.04	2233.66	22.07
1019.90	0.02	2127.07	6.46
1021.22	0.03	1325.01	9.01
1021.31	0.01	1308.31	12.50
1022.08	0.03	933.95	6.81
1022.74	0.03	710.23	5.86
1023.26	0.04	595.03	6.56
1025.32	0.04	334.77	5.55
1027.96	0.02	191.64	1.74
1029.09	0.02	159.94	2.95
1033.91	0.02	89.65	1.24
1040.03	0.05	55.87	0.94
1049.86	0.02	34.47	0.47
1050.86	0.04	33.89	0.84
1059.95	0.02	25.93	0.64
