1	610.50	0.0	327.8	46.2
2	784.24	0.0	935.9	26.5
3	620.50	0.0	390.6	29.1
4	786.04	0.0	809.5	28.9
5	630.50	0.0	426.9	28.6
6	790.10	0.0	859.3	30.0
7	640.51	0.0	426.2	27.9
8	794.14	0.0	799.6	22.7
9	650.49	0.0	480.3	31.6
10	800.02	0.0	782.7	18.1
11	660.50	0.0	498.8	27.8
12	810.14	0.0	669.7	14.4
13	670.50	0.0	560.5	30.0
14	820.02	0.0	619.0	20.0
15	680.59	0.0	697.2	32.3
16	829.97	0.0	517.5	18.5
17	690.43	0.0	718.6	25.5
18	839.10	0.0	415.4	17.3
19	700.52	0.0	818.1	21.2
20	849.24	0.0	344.8	17.0
21	710.47	0.0	926.1	33.4
22	859.60	0.0	345.7	15.9
23	720.25	0.0	1048.1	27.0
24	869.50	0.0	260.7	10.7
25	730.24	0.0	1107.2	38.1
26	879.84	0.0	233.6	18.1
27	740.20	0.0	1191.9	37.1
28	889.72	0.0	191.1	7.7
29	750.28	0.0	1302.9	36.2
30	900.04	0.0	172.1	6.4
31	760.18	0.0	1306.9	36.5
32	910.02	0.0	149.1	6.8
33	764.17	0.0	1289.6	30.6
34	919.56	0.0	129.7	6.5
35	770.11	0.0	1304.6	33.5
36	930.1	0.0	120.3	7.7
37	774.38	0.0	1265.7	33.7
38	942.19	0.0	106.8	5.1
39	778.17	0.0	1321.6	37.7
40	951.84	0.0	92.9	4.8
41	780.17	0.0	1234.9	34.8
42	961.52	0.0	86.2	4.6
43	782.23	0.0	1026.6	18.5
