1.047,36.243,0.592,0.471
1.075,18.483,0.305,0.240
1.097,14.184,0.244,0.184
1.124,11.307,0.199,0.147
1.151,9.415,0.192,0.122
1.174,9.148,0.171,0.119
1.196,7.737,0.153,0.101
1.223,7.269,0.175,0.104
1.245,6.624,0.187,0.092
1.273,6.518,0.170,0.089
1.295,5.964,0.184,0.081
1.323,5.718,0.154,0.077
1.344,5.160,0.148,0.069
1.374,5.308,0.132,0.072
1.394,5.001,0.131,0.067
1.423,4.579,0.121,0.063
1.443,4.254,0.137,0.057
1.471,4.093,0.111,0.056
1.494,3.646,0.110,0.049
1.522,3.679,0.124,0.050
1.543,3.382,0.122,0.045
1.572,3.518,0.121,0.048
1.594,3.507,0.152,0.047
1.623,3.022,0.102,0.043
1.643,2.815,0.106,0.039
1.669,2.155,0.091,0.031
1.693,1.570,0.081,0.023
1.723,0.968,0.069,0.020
1.742,0.633,0.051,0.013
1.774,0.310,0.036,0.009
1.793,0.170,0.035,0.008
1.826,0.215,0.034,0.012
1.849,0.171,0.038,0.020
1.871,0.291,0.036,0.017
1.893,0.345,0.040,0.016
1.901,0.343,0.049,0.013
1.927,0.316,0.042,0.014
1.953,0.357,0.061,0.015
1.978,0.332,0.055,0.017
2.005,0.367,0.048,0.016
1.277,6.358,0.142,0.105
1.357,5.339,0.122,0.089
1.435,4.114,0.099,0.069
1.515,3.574,0.094,0.060
1.595,3.302,0.090,0.055
1.674,1.770,0.062,0.031
1.716,1.115,0.075,0.025
1.758,0.503,0.038,0.014
1.798,0.187,0.025,0.016
1.840,0.293,0.041,0.014
1.874,0.276,0.033,0.016
1.903,0.287,0.033,0.017
1.926,0.367,0.044,0.016
1.945,0.263,0.034,0.015
1.967,0.331,0.041,0.015
1.989,0.346,0.046,0.015
