filename,mcname,label,lum,err
scan2011_tr_ph_fc_e525_v6.root,tr_ph_kskl_525_8997.root,525,469.339,1.1075
scan2011_tr_ph_fc_e550_v6.root,tr_ph_kskl_550_9158.root,550,493.501,1.17935
scan2011_tr_ph_fc_e575_v6.root,tr_ph_kskl_575_9288.root,575,493.71,1.23988
scan2011_tr_ph_fc_e600_v6.root,tr_ph_kskl_600_9407.root,600,557.452,1.38228
scan2011_tr_ph_fc_e625_v6.root,tr_ph_kskl_625_9475.root,625,411.009,1.2255
scan2011_tr_ph_fc_e650_v6.root,tr_ph_kskl_650_9703.root,650,462.916,1.354
scan2011_tr_ph_fc_e675_v6.root,tr_ph_kskl_675_9773.root,675,560.153,1.55173
scan2011_tr_ph_fc_e700_v6.root,tr_ph_kskl_700_9902.root,700,532.343,1.56908
scan2011_tr_ph_fc_e725_v6.root,tr_ph_kskl_725_10052.root,725,439.312,1.47108
scan2011_tr_ph_fc_e750_v6.root,tr_ph_kskl_750_10156.root,750,556.852,1.72464
scan2011_tr_ph_fc_e775_v6.root,tr_ph_kskl_775_10271.root,775,512.087,1.70318
scan2011_tr_ph_fc_e800_v6.root,tr_ph_kskl_800_10364.root,800,449.786,1.64268
scan2011_tr_ph_fc_e825_v6.root,tr_ph_kskl_825_10428.root,825,462.699,1.72182
scan2011_tr_ph_fc_e850_v6.root,tr_ph_kskl_850_10528.root,850,494.236,1.83661
scan2011_tr_ph_fc_e875_v6.root,tr_ph_kskl_875_10606.root,875,542.353,1.99706
scan2011_tr_ph_fc_e900_v6.root,tr_ph_kskl_900_10715.root,900,449.157,1.85264
scan2011_tr_ph_fc_e925_v6.root,tr_ph_kskl_925_10796.root,925,435.365,1.87933
scan2011_tr_ph_fc_e950_v6.root,tr_ph_kskl_950_10902.root,950,498.58,2.07553
scan2011_tr_ph_fc_e962.5_v6.root,tr_ph_kskl_962.5_10992.root,962.5,590.841,2.30894
scan2011_tr_ph_fc_e975_v6.root,tr_ph_kskl_975_11110.root,975,451.026,2.02071
scan2011_tr_ph_fc_e987.5_v6.root,tr_ph_kskl_987.5_11220.root,987.5,506.605,2.18062
scan2011_tr_ph_fc_e1000_v6.root,tr_ph_kskl_1000_11333.root,1000,478.093,2.14453
scan2011_tr_ph_fc_e537.5_v6.root,tr_ph_kskl_537.5_13082.root,537.5,554.231,1.22073
scan2011_tr_ph_fc_e562.5_v6.root,tr_ph_kskl_562.5_12974.root,562.5,549.094,1.27306
scan2011_tr_ph_fc_e587.5_v6.root,tr_ph_kskl_587.5_12894.root,587.5,522.721,1.29816
scan2011_tr_ph_fc_e612.5_v6.root,tr_ph_kskl_612.5_12811.root,612.5,536.375,1.37357
scan2011_tr_ph_fc_e637.5_v6.root,tr_ph_kskl_637.5_12693.root,637.5,458.156,1.31867
scan2011_tr_ph_fc_e662.5_v6.root,tr_ph_kskl_662.5_12532.root,662.5,530.893,1.48056
scan2011_tr_ph_fc_e687.5_v6.root,tr_ph_kskl_687.5_12442.root,687.5,179.974,0.87899
scan2011_tr_ph_fc_e787.5_v6.root,tr_ph_kskl_787.5_12035.root,787.5,530.109,1.77043
scan2011_tr_ph_fc_e762.5_v6.root,tr_ph_kskl_762.5_12338.root,762.5,539.54,1.72555
scan2011_tr_ph_fc_e737.5_v6.root,tr_ph_kskl_737.5_12215.root,737.5,515.926,1.62784
scan2011_tr_ph_fc_e712.5_v6.root,tr_ph_kskl_712.5_12116.root,712.5,539.235,1.60950
scan2011_tr_ph_fc_e812.5_v6.root,tr_ph_kskl_812.5_11988.root,812.5,517.806,1.80292
scan2011_tr_ph_fc_e837.5_v6.root,tr_ph_kskl_837.5_11940.root,837.5,572.151,1.96196
scan2011_tr_ph_fc_e862.5_v6.root,tr_ph_kskl_862.5_11905.root,862.5,530.712,1.94405
scan2011_tr_ph_fc_e887.5_v6.root,tr_ph_kskl_887.5_11870.root,887.5,560.637,2.06389
scan2011_tr_ph_fc_e912.5_v6.root,tr_ph_kskl_912.5_11837.root,912.5,513.824,2.02915
scan2011_tr_ph_fc_e935_v6.root,tr_ph_kskl_935_11756.root,935,671.032,2.40272
scan2011_tr_ph_fc_e945_v6.root,tr_ph_kskl_945_11608.root,945,527.111,2.13367
