name,TF,CF,TC,eTF,eCF,TrigEff,vTF,vCF,TrigErr
537.5000,453.0000,20.0000,1549.0000,0.9866,0.7735,0.9970,0.0029,0.0093,0.0007
550.0000,312.0000,17.0000,1076.0000,0.9836,0.7748,0.9963,0.0038,0.0112,0.0009
550.1000,113.0000,9.0000,332.0000,0.9708,0.7450,0.9926,0.0091,0.0206,0.0024
562.5000,171.0000,9.0000,507.0000,0.9807,0.7471,0.9951,0.0060,0.0167,0.0016
575.0000,64.0000,19.0000,442.0000,0.9568,0.8720,0.9945,0.0094,0.0148,0.0014
587.5000,32.0000,10.0000,346.0000,0.9693,0.9132,0.9973,0.0091,0.0144,0.0009
600.0000,14.0000,15.0000,253.0000,0.9407,0.9442,0.9967,0.0143,0.0140,0.0012
612.5000,10.0000,5.0000,181.0000,0.9681,0.9430,0.9982,0.0128,0.0166,0.0009
612.6000,16.0000,9.0000,240.0000,0.9602,0.9341,0.9974,0.0123,0.0154,0.0010
625.0000,14.0000,5.0000,181.0000,0.9681,0.9239,0.9976,0.0128,0.0188,0.0011
637.5000,6.0000,3.0000,117.0000,0.9672,0.9440,0.9982,0.0161,0.0205,0.0011
641.0000,55.0000,45.0000,763.0000,0.9432,0.9317,0.9961,0.0081,0.0088,0.0007
650.0000,4.0000,2.0000,98.0000,0.9706,0.9519,0.9986,0.0166,0.0209,0.0010
662.5000,7.0000,4.0000,102.0000,0.9537,0.9279,0.9967,0.0201,0.0244,0.0018
675.0000,8.0000,1.0000,87.0000,0.9778,0.9072,0.9979,0.0155,0.0293,0.0016
687.5000,4.0000,2.0000,82.0000,0.9651,0.9432,0.9980,0.0197,0.0245,0.0014
700.0000,7.0000,0.0000,44.0000,0.9783,0.8491,0.9967,0.0213,0.0487,0.0034
712.5000,1.0000,2.0000,70.0000,0.9595,0.9726,0.9989,0.0228,0.0190,0.0010
725.0000,4.0000,1.0000,69.0000,0.9722,0.9333,0.9981,0.0192,0.0286,0.0015
737.5000,4.0000,1.0000,63.0000,0.9697,0.9275,0.9978,0.0209,0.0310,0.0018
750.0000,8.0000,6.0000,107.0000,0.9391,0.9231,0.9953,0.0222,0.0245,0.0023
762.0000,5.0000,5.0000,167.0000,0.9655,0.9655,0.9988,0.0138,0.0138,0.0007
775.0000,6.0000,3.0000,130.0000,0.9704,0.9493,0.9985,0.0145,0.0186,0.0009
787.5000,11.0000,3.0000,215.0000,0.9818,0.9474,0.9990,0.0090,0.0148,0.0005
800.0000,16.0000,7.0000,279.0000,0.9722,0.9428,0.9984,0.0097,0.0135,0.0007
812.5000,12.0000,8.0000,400.0000,0.9780,0.9686,0.9993,0.0072,0.0086,0.0003
825.0000,16.0000,3.0000,287.0000,0.9863,0.9443,0.9992,0.0068,0.0131,0.0004
837.5000,2.0000,5.0000,147.0000,0.9610,0.9801,0.9992,0.0155,0.0113,0.0005
850.0000,0.0000,0.0000,92.0000,0.9894,0.9894,0.9999,0.0105,0.0105,0.0002
862.5000,4.0000,3.0000,38.0000,0.9070,0.8864,0.9894,0.0438,0.0473,0.0066
875.0000,0.0000,2.0000,47.0000,0.9412,0.9796,0.9988,0.0326,0.0200,0.0014
887.5000,1.0000,2.0000,23.0000,0.8889,0.9231,0.9915,0.0594,0.0513,0.0073
900.0000,0.0000,0.0000,16.0000,0.9444,0.9444,0.9969,0.0526,0.0526,0.0041
912.5000,1.0000,2.0000,17.0000,0.8571,0.9000,0.9857,0.0746,0.0655,0.0120
925.0000,0.0000,0.0000,20.0000,0.9545,0.9545,0.9979,0.0434,0.0434,0.0028
936.0000,1.0000,2.0000,38.0000,0.9286,0.9512,0.9965,0.0393,0.0332,0.0031
945.0000,0.0000,3.0000,46.0000,0.9216,0.9792,0.9984,0.0373,0.0204,0.0018
950.0000,0.0000,3.0000,28.0000,0.8788,0.9667,0.9960,0.0560,0.0322,0.0043
951.1000,0.0000,2.0000,44.0000,0.9375,0.9783,0.9986,0.0346,0.0213,0.0015
955.0000,2.0000,2.0000,25.0000,0.8966,0.8966,0.9893,0.0556,0.0556,0.0081
962.5000,1.0000,1.0000,39.0000,0.9524,0.9524,0.9977,0.0325,0.0325,0.0022
975.0000,2.0000,0.0000,83.0000,0.9882,0.9655,0.9996,0.0116,0.0195,0.0005
978.0000,0.0000,0.0000,7.0000,0.8889,0.8889,0.9877,0.0994,0.0994,0.0156
987.5000,1.0000,3.0000,51.0000,0.9286,0.9630,0.9974,0.0341,0.0255,0.0022
