,M,S1,S2,f,N,C,Merr,S1err,S2err,ferr,Nerr,Cerr
537.5,496.97634179056945,4.082000000051029,10.640000016907242,0.6899999999266142,2004.0390026427663,17.980017990260222,0.08252231632405937,0.007972410848402056,0.045838219517458256,0.0011628642870500916,44.99642336051181,6.216370697230383
550.0,497.0499999999996,4.082000000356032,10.640000000107909,0.6899999996931299,1369.6111072043432,35.41270127740381,0.06685554769276791,0.027307108333157526,0.09924798935173307,0.0027908355179266375,37.492855956305675,8.456361478904189
550.1,496.950021018672,4.273999921964399,10.640000045814755,0.6500001680664363,433.61419407636106,20.314300638937468,0.0656177239904423,0.12258259883468625,0.17481852118086394,0.028481080621715782,21.319009405441363,6.418945364034201
562.5,497.0499999999998,4.082000001299581,10.640000133954953,0.6899999999824523,673.0858128650558,13.906866715044707,0.08902096053736841,0.15150614711702115,0.5277105086383198,0.006318338373664412,26.271379685921545,5.568408021971144
575.0,496.9500019816843,4.082000008240078,10.640000029437115,0.6899999585487343,511.5961319393148,13.496789351727434,0.09514000490048602,0.12184199503796966,0.13653317215133853,0.004677339077334197,22.844457239764864,4.873487919628716
587.5,496.95000013827223,4.082000000210955,10.64000114150682,0.6899997874875671,382.1202348591418,5.877018849142934,0.06174077074015827,0.0352350368960499,0.5977453826107535,0.007568758614825533,19.849817643389486,4.215492513059554
600.0,496.9500000005108,4.273998942002492,11.479878254189906,0.6550898191160474,272.7688458357858,9.20820723101279,0.09020672576750144,0.18112857502822433,0.7968212241027013,0.031102666098695553,17.301096010995664,5.494747829913743
612.5,496.950000013074,4.082000004019563,10.640000025168163,0.6899997690455874,190.67651613992376,5.321262099712342,0.09979516024571922,0.1914347174341362,0.8138727748362538,0.02126337299607267,14.038200422708258,3.4228384429231813
612.6,496.95000000005376,4.273991571733242,10.640000303965175,0.6831856360176958,252.97898026012234,11.994003481300918,0.09875734138742587,0.12391277039858561,0.6951722136811913,0.02368961598047864,16.31901282501623,5.031132862069715
625.0,496.9500000000055,4.2435383956918935,11.479997392855388,0.650000000000726,194.30793108598687,5.691576599266224,0.09816771361690257,0.10305338383039686,0.6012273930204168,0.028082026705515628,14.313196155986134,4.02970655257165
