name,lum,dEmin,dEmax,Emean,Nsig,dNsig
641.00,3097.96,0.00,0.00,641.02,340.99,19.72
650.00,876.63,0.00,0.00,649.77,100.03,10.00
675.00,1225.14,0.00,0.00,674.85,84.32,9.89
700.00,876.66,0.00,0.00,700.56,40.89,6.96
725.00,1114.22,0.00,0.00,724.94,62.90,8.29
750.00,1107.58,0.00,0.00,749.55,96.75,10.79
775.00,970.86,0.00,0.00,774.85,107.00,10.34
800.00,1241.54,0.00,0.00,800.86,163.46,13.43
825.00,1381.86,0.00,0.00,825.05,189.56,14.40
840.00,635.65,0.00,0.00,839.47,79.10,9.39
850.00,942.09,0.00,0.00,846.81,47.05,7.25
860.00,922.38,0.00,0.00,857.23,30.57,5.67
870.00,941.91,0.00,0.00,867.15,19.50,4.89
900.00,4238.76,17.01,15.74,893.98,38.12,7.47
935.00,5042.76,10.17,6.99,930.13,37.18,7.59
938.00,6498.56,0.72,0.61,938.14,36.30,8.03
940.00,5813.50,0.60,0.50,940.06,23.38,8.74
960.00,5632.17,15.52,13.84,957.40,36.83,7.31
990.00,6358.03,14.54,6.81,996.50,19.54,6.48
